CID,a
8071,3.1
8074,3.7
8078,2.98
8079,2.8
8082,3.0
8083,3
8087,4.63
8093,4.4
8095,4.72
8102,3.49
8103,3.5
8108,3.45
8110,3.00
8111,3.56
8112,3.59
8113,3.65
8114,3.53
8115,4.93
8117,3.66
8121,5.0
8125,3.87
8128,3.73
8130,3.9
8133,4.1
8134,4.14
8135,3.66
8141,4.41
8144,5.0
8146,4.62
8147,5.9
8148,4.46
8149,4.2
8158,4.41
8160,5.5
8163,5.9
8165,6.07
8174,5.3
8177,5.6
8182,5.96
8183,5.81
8197,6.53
8207,6.9
8209,7.39
8252,1.46
8254,1.6
8255,1.94
8260,5.6
8289,1.19
8298,4.9
8301,3.87
8303,9.2
8342,7.8
8343,16.0
8370,9.83
8376,7.85
8404,4.6
8411,8.43
8418,6.15
8449,5.62
8452,2.3
8461,6.27
8470,3.59
8471,3.49
8472,4.3
8554,6.69
8560,8.3
8561,10.5
8640,4.93
8680,4.62
8697,5.0
8698,6.15
8723,3.0
8783,9.32
8785,5.1
8795,4.4
8821,3.45
8846,4.42
8850,6.15
8851,5.0
8855,3.67
8857,3.04
8858,3.4
8868,4.48
8872,5.9
8881,3.90
8892,4.01
8894,4.0
8900,3.45
8902,3.49
8909,1.48
8916,5.5
8987,5.9
9005,3.67
9015,4.3
9033,1.48
9144,7.8
9250,1.93
9253,2.42
9265,3.3
9550,1.45
9609,3.11
9862,4.35
9864,1.45
9868,3.1
9988,3.7
9999,1.8
10038,1.45
10039,2.1
10041,2.5
10439,3.25
10461,5.5
10476,3.62
10477,1.98
10509,0.8
10553,2.4
10560,3.11
10686,4.15
10707,5.79
10757,5.32
10795,3.1
10800,6.84
10848,5.9
10849,4.1
10899,2.7
10900,3.4
10903,2.1
10907,3.93
10908,4.0
10928,3.7
10952,4.08
10967,4.0
10977,3.67
11006,7.8
11026,9.8
11040,3.6
11089,6.6
11124,3.03
11142,4.68
11164,2.15
11167,2.53
11203,2.63
11205,11.4
11241,3.1
11243,3.83
11312,6.35
11419,3.86
11429,3.1
11443,6.0
11454,6.4
11487,5.82
11535,1.9
11552,2.96
11583,3.5
11584,3.45
11597,3.0
11599,2.8
11610,0.7
11615,10.9
11641,3.7
11648,3.75
11666,6.414
11673,4.3
11674,5.0
11711,6
11715,4.75
11761,6.28
11807,3.0
11813,6.28
11883,6.28
12017,4.38
12049,3.49
12141,5.25
12145,6.03
12146,4.9
12180,3.5
12228,1.42
12232,3.24
12257,3.03
12259,3.1
12278,4.5
12348,4.5
12374,4.07
12375,4.07
12389,6.83
12398,8.3
12582,4.4
12586,2.6
12661,2.9
12679,6.18
12682,5.3
12688,10.5
12712,7.94
12713,6.8
12720,1.80
12733,4.27
12762,7.7
13002,2.58
13139,5.94
13140,3.63
13143,2.9
13192,5.81
13381,4.84
13387,3.4
13556,4.31
13586,2.4
14257,5.4
14260,6.78
14799,25.2
14862,5.4
14896,4.7
14917,1.27
15112,2.42
15290,4.00
15457,3.52
15589,5.14
15600,4.90
15615,2.4
16043,5.73
16316,5.4
16402,4.01
16680,7.3
16692,13.9
16704,3.78
17049,3.78
17050,5.9
17358,5
17601,2.3
17607,3.5
17822,4.7
17869,5.4
18052,4.2
19309,3.3
19499,2.97
19855,5.4
19883,5.86
19920,4.15
20083,4.5
21609,4.4
21801,11.7
22044,6.8
22311,4.7
22932,13.5
23056,11.6
23235,7.1
23284,9.9
23935,0.6964
23968,1.38
23969,2.66
24142,6.4
24267,3.45
24273,6
24287,9
24386,4.1
24387,4.75
24404,1.17
24410,5.98
24526,2.48
24555,3.78
24556,3.57
24558,6.66
24559,8.3
24560,12
24570,6.25
24606,6.05
24638,4.02
24647,5.7
24648,4.6
24682,2.76
24726,3.8
24807,4.66
24813,5.3
24819,7.2
24829,19.3
24841,4.4
24870,2.3
24874,2.52
24883,1.4
25135,4.03
25353,3.55
25485,5.11
26323,4.8
28343,5.9
31217,4.37
31218,14.7
31229,4.7
31236,4.8
31237,8.47
31241,4.4
31244,4.7
31246,3.93
31256,4.0
31260,3.04
31261,3.5
31263,4.49
31264,4.5
31268,2.45
31272,4.0
31275,3.03
31278,11.4
31279,3.35
31285,4.35
31297,3.9
31344,3.6
31357,9.20
31368,2.31
31369,3.0
31370,3.3
31373,5.83
31374,3.01
31404,7.6
32611,6.63
32898,5.5
33934,13.5
38307,5.9
39793,9.2
40818,5.25
60963,13.2
61109,6.3
61198,6.76
61220,7.1
62204,2.35
62324,3.2
62586,8.77
62695,1.9
64505,6.2
67940,4.2
69610,3.5
75103,3.11
82916,3.66
88054,8.5
88899,4.2
89594,5.61
92629,4.56
92839,5.27
104745,2.56
104775,3.04
110612,9.8
122903,5.8
140487,4.67
145068,1.04
159055,5.24
170325,8.1
171144,9.04
