CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_ex_C4,na_ex_F1,na_ex_N3,na_ex_O2,na_ex_S2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_N3_3_2,C4_2_N3_4_1,C4_2_O2_2_1,C4_2_S2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_N3_4_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_4_C4_4_1,C4_4_O2_2_1,N3_2_N3_2_1,S2_2_S2_2_1,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_/_/_0,FC_6_C4_0_O2_1_/_2_/_0_0,FC_7_N3_0_/_/_0,FC_8_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_9_N3_0_H1_1_/_1_/_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_11_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_12_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_13_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_14_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_15_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_16_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_17_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,FC_18_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_19_S2_0_/_/_0,FC_20_C4_0_H1_1_H1_1_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_H1_1_C4_1_N3_2_/_1_1_3_/_0_0_0_0,FC_22_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_H1_3_N3_2_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_24_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_25_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_26_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_27_N3_0_O2_1_/_1_/_1_-1,FC_28_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_29_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_H1_2_H1_2_/_2_1_1_/_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_O2_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_33_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_34_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_35_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_37_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_38_C4_0_F1_1_/_1_/_0_0,FC_39_C4_0_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_40_N3_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_41_C4_0_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_42_N3_0_N3_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_1_-1_0_0_0_0,FC_43_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_44_C4_0_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_45_C4_0_H1_1_O2_1_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0,FC_46_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_O2_2_/_1_1_1_1_1_2_/_0_0_0_0_0_0_0,FC_47_N3_0_C4_1_N3_2_H1_3_H1_3_N3_2_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_48_C4_0_H1_1_C4_1_H1_2_H1_2_S2_2_H1_3_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_49_N3_0_/_/_1,FC_50_C4_0_C4_1_O2_2_O2_2_/_1_1_2_/_0_0_-1_0,FC_51_C4_0_H1_1_N3_1_N3_2_/_1_2_2_/_0_0_1_-1,FC_52_C4_0_H1_1_N3_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_1_2_1_1_/_0_0_1_0_0_0_0_0_0_0,FC_53_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_54_C4_0_H1_1_C4_1_O2_2_O2_2_/_1_1_1_2_/_0_0_0_-1_0,FC_55_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_1_0_0_0,FC_56_N3_0_H1_1_/_1_/_1_0,FC_57_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_58_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_59_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_60_C4_0_H1_1_N3_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_/_1_1_1_1_1_1_1_2_/_0_0_1_0_0_0_0_-1_0,FC_61_N3_0_H1_1_H1_1_/_1_1_/_1_0_0,FC_62_C4_0_O2_1_/_1_/_0_-1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_N3_C4_2,LeafAC_N3_C4_3,LeafAC_N3_N3_2,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_N3_1,LeafAC_S2_C4_1
191,0.21875,0.6,0.302326,0.795175,0,0.25,0.4,0,0,0.333333,0.444444,0,0.666667,0,0.242424,0.5,0.2,0,0.111111,0,0.2,0.166667,0,0,0,0,0,0,0.5,1,0.333333,0,0,0,0,0.25,0.2,0,0.153846,0.5,0.666667,0,0.2,0,0,0,0,0,0.272727,0.2,0,0.2,0.333333,0,1,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.230769,0,0,0
258,0.390625,0.4,0.418605,0.606773,0,0.416667,0.45,0,0.2,0.5,0.333333,0,0.5,0,0.393939,0.5,0.2,0,0.333333,0,0.8,0.25,0,0.25,0.666667,0.545455,0,0,0,0,0.666667,0,0,0,0,0.0625,0,0,0.230769,0.5,0.666667,0,0.2,0,0,0,0,0,0.545455,0,0.428571,0.2,0,0.25,0.5,0,0.142857,0,0,0,0,0.25,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.6,1,0,0,0.0769231,0.272727,0,0
263,0,0,0,0,0,0.0416667,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0769231,0,0,0
346,0.21875,0.4,0.27907,0.661732,0,0.25,0.35,0,0,0.366667,0.222222,0,0.5,0,0.30303,0,0.4,0,0.111111,0,0,0.333333,0,0.25,0.333333,0.181818,0.666667,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.4,0,0,0,0,0,0.454545,0.3,0,0.4,0.166667,0,0,0.2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615,0,0,0
424,0.0625,0,0.0232558,0.787889,0,0.0416667,0.05,0,0.4,0,0,0,0,0,0.030303,0,0,0,0.222222,0,0.2,0.25,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.153846,0.181818,0,0
453,0.109375,0,0.0697674,0.481865,0,0,0.2,0,0.4,0.0666667,0,0,0,0,0.0909091,0,0,0,0.222222,0,0,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538,0,0,0
581,0.078125,0,0.0232558,0.850014,0,0.0416667,0.05,0,0.4,0,0,0,0,0,0,0.125,0,0,0.444444,0,0,0.166667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0.0769231,0.181818,0,1
596,0.1875,0.4,0.232558,0.738342,0,0.166667,0.35,0,0,0.3,0.222222,0,0.333333,0,0.212121,0.25,0.2,0,0.111111,0,0.2,0.25,0,0,0.333333,0.0909091,0,0,0,0,0.333333,0,0,0,0,0.1875,0,0,0.0769231,0.5,0.666667,0,0.2,0,0,0,0,0,0.272727,0.2,0,0.2,0,0.125,0.5,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.230769,0.0909091,0,0
604,0.125,0,0.0697674,0.67772,0,0,0.2,0,0.4,0.0666667,0,0,0,0,0.0909091,0,0,0,0.222222,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538,0.0909091,0,0
614,0.046875,0.2,0.0930233,0.427004,0,0.166667,0.05,0,0,0.166667,0,0,0,0,0.0909091,0.125,0,0,0.111111,0,0,0.0833333,0,0.5,0,0.0909091,0,0,0.5,0,0,0,0,0,0,0,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0,0,0.428571,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0769231,0.0909091,0,0
994,0.109375,0.2,0.162791,0.522415,0,0.25,0.1,0,0.2,0.2,0.111111,0,0.5,0,0.212121,0,0,0,0.111111,0,0.2,0.0833333,0,0.5,0.666667,0.272727,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454545,0,0.142857,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.0769231,0.0909091,0,0
1072,0.34375,0.6,0.395349,0.715026,0,0.25,0.6,0,0.2,0.4,0.555556,0,0.833333,0,0.393939,0.5,0,0,0.333333,0,0,0.416667,0,0,0,0.272727,0.666667,0,0,0,0.333333,0,0,0,0,0.3125,0.2,0,0.307692,1,0.666667,0,0,0,0,0,0,0,0.181818,0.2,0.142857,0,0.666667,0.25,0.75,0,0.142857,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.307692,0.181818,0,0
1101,0.109375,0,0.0697674,0.598446,0,0,0.2,0,0.4,0.0666667,0,0,0,0,0.0909091,0,0,0,0.222222,0,0,0.416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.384615,0.0909091,0,0
1148,0.15625,0.4,0.232558,0.611399,0,0.291667,0.2,0,0.2,0.233333,0.333333,0,0.666667,0,0.272727,0.125,0,0,0.111111,0,0.2,0.0833333,0,0.5,0.333333,0.181818,1,0,0.5,0,0,0,0,0,0,0.125,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0.454545,0,0.142857,0,0.5,0,0,0,0.142857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.0769231,0.0909091,0,0
1805,0.1875,0.4,0.232558,0.811506,0,0.166667,0.35,0,0,0.3,0.222222,0,0.333333,0,0.181818,0.375,0.2,0,0.111111,0,0.2,0.25,0,0,0,0,0,0,0,0.5,0.333333,0,0,0,0,0.1875,0,0,0.153846,0.5,0.666667,0,0.2,0,0,0,0,0,0.181818,0.2,0,0.2,0,0.125,0.75,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0.230769,0.0909091,0,0
