CID,a
356_323,0.04404
357_323,0.04404
358_348,0.04088
359_348,0.04088
360_273,2.25464
361_273,2.25464
362_298,2.06549
363_298,2.06549
364_323,1.90562
365_323,1.90562
366_348,1.76872
367_348,1.76872
368_273,1.96793
369_273,1.96793
370_298,1.80283
371_298,1.80283
372_323,1.6633
373_323,1.6633
374_348,1.54381
375_348,1.54381
376_273,2.6737
377_273,2.6737
378_298,2.4494
379_298,2.4494
380_323,2.25982
381_323,2.25982
382_348,2.09748
383_348,2.09748
384_273,0.92362
385_273,0.92362
386_298,0.84613
387_298,0.84613
388_323,0.78064
389_323,0.78064
390_348,0.72456
391_348,0.72456
392_273,0.94615
393_273,0.94615
394_298,0.86677
395_298,0.86677
396_323,0.79968
397_323,0.79968
398_348,0.74224
399_348,0.74224
400_273,0.02635
401_273,0.02635
402_298,0.02414
403_298,0.02414
404_323,0.02227
405_323,0.02227
406_348,0.02067
407_348,0.02067
408_273,0.02635
409_273,0.02635
410_298,0.02414
411_298,0.02414
412_323,0.02227
413_323,0.02227
414_348,0.02067
415_348,0.02067
416_273,0.68822
417_273,0.68822
418_298,0.63048
419_298,0.63048
420_323,0.58168
421_323,0.58168
422_348,0.5399
423_348,0.5399
424_273,0.20358
425_273,0.20358
426_298,0.1865
427_298,0.1865
428_323,0.17207
429_323,0.17207
430_348,0.15971
431_348,0.15971
432_273,0.46168
433_273,0.46168
434_298,0.42295
435_298,0.42295
436_323,0.39021
437_323,0.39021
438_348,0.36218
439_348,0.36218
440_273,1.23065
441_273,1.23065
442_298,1.12741
443_298,1.12741
444_323,1.04014
445_323,1.04014
446_348,0.96542
447_348,0.96542
448_273,1.02137
449_273,1.02137
450_298,0.93569
451_298,0.93569
452_323,0.86326
453_323,0.86326
454_348,0.80125
455_348,0.80125
456_273,1.54492
457_273,1.54492
458_298,1.41531
459_298,1.41531
460_323,1.30577
461_323,1.30577
462_348,1.21196
463_348,1.21196
464_273,0.32359
465_273,0.32359
466_298,0.29645
467_298,0.29645
468_323,0.2735
469_323,0.2735
470_348,0.25385
471_348,0.25385
472_273,0.33698
473_273,0.33698
474_298,0.30871
475_298,0.30871
476_323,0.28482
477_323,0.28482
478_348,0.26436
479_348,0.26436
480_273,0.05284
481_273,0.05284
482_298,0.0484
483_298,0.0484
484_323,0.04466
485_323,0.04466
486_348,0.04145
487_348,0.04145
488_273,0.05284
489_273,0.05284
490_298,0.0484
491_298,0.0484
492_323,0.04466
493_323,0.04466
494_348,0.04145
495_348,0.04145
496_273,0.19131
497_273,0.19131
498_298,0.17526
499_298,0.17526
500_323,0.1617
501_323,0.1617
502_348,0.15008
503_348,0.15008
504_273,0.00348
505_273,0.00348
506_298,0.00319
507_298,0.00319
508_323,0.00294
509_323,0.00294
510_348,0.00273
511_348,0.00273
512_273,0.08252
513_273,0.08252
514_298,0.0756
515_298,0.0756
516_323,0.06975
517_323,0.06975
518_348,0.06474
519_348,0.06474
520_273,0.15382
521_273,0.15382
522_298,0.14092
523_298,0.14092
524_323,0.13001
525_323,0.13001
526_348,0.12067
527_348,0.12067
528_273,1.21528
529_273,1.21528
530_298,1.11333
531_298,1.11333
532_323,1.02716
533_323,1.02716
534_348,0.95337
535_348,0.95337
536_273,1.00738
537_273,1.00738
538_298,0.92287
539_298,0.92287
540_323,0.85144
541_323,0.85144
542_348,0.79027
543_348,0.79027
544_273,1.5277
545_273,1.5277
546_298,1.39953
547_298,1.39953
548_323,1.29121
549_323,1.29121
550_348,1.19845
551_348,1.19845
552_273,0.31574
553_273,0.31574
554_298,0.28925
555_298,0.28925
556_323,0.26686
557_323,0.26686
558_348,0.24769
559_348,0.24769
560_273,0.32896
561_273,0.32896
562_298,0.30137
563_298,0.30137
564_323,0.27804
565_323,0.27804
566_348,0.25807
567_348,0.25807
568_273,0.05608
569_273,0.05608
570_298,0.05137
571_298,0.05137
572_323,0.0474
573_323,0.0474
574_348,0.04399
575_348,0.04399
576_273,0.05608
577_273,0.05608
578_298,0.05137
579_298,0.05137
580_323,0.0474
581_323,0.0474
582_348,0.04399
583_348,0.04399
584_273,0.18528
585_273,0.18528
586_298,0.16974
587_298,0.16974
588_323,0.1566
589_323,0.1566
590_348,0.14535
591_348,0.14535
592_273,0.00271
593_273,0.00271
594_298,0.00248
595_298,0.00248
596_323,0.00229
597_323,0.00229
598_348,0.00213
599_348,0.00213
600_273,0.07858
601_273,0.07858
602_298,0.07199
603_298,0.07199
604_323,0.06642
605_323,0.06642
606_348,0.06165
607_348,0.06165
608_273,0.15932
609_273,0.15932
610_298,0.14595
611_298,0.14595
612_323,0.13466
613_323,0.13466
614_348,0.12498
615_348,0.12498
616_273,5e-05
617_273,5e-05
618_298,4e-05
619_298,4e-05
620_323,4e-05
621_323,4e-05
622_348,4e-05
623_348,4e-05
624_273,3.06406
625_273,3.06406
626_298,2.80701
627_298,2.80701
628_323,2.58975
629_323,2.58975
630_348,2.4037
631_348,2.4037
632_273,2.72821
633_273,2.72821
634_298,2.49933
635_298,2.49933
636_323,2.30588
637_323,2.30588
638_348,2.14023
639_348,2.14023
640_273,3.54963
641_273,3.54963
642_298,3.25184
643_298,3.25184
644_323,3.00015
645_323,3.00015
646_348,2.78463
647_348,2.78463
648_273,1.46398
649_273,1.46398
650_298,1.34116
651_298,1.34116
652_323,1.23736
653_323,1.23736
654_348,1.14847
655_348,1.14847
656_273,1.49231
657_273,1.49231
658_298,1.36711
659_298,1.36711
660_323,1.2613
661_323,1.2613
662_348,1.17069
663_348,1.17069
664_273,0.16912
665_273,0.16912
666_298,0.15493
667_298,0.15493
668_323,0.14294
669_323,0.14294
670_348,0.13267
671_348,0.13267
672_273,0.16912
673_273,0.16912
674_298,0.15493
675_298,0.15493
676_323,0.14294
677_323,0.14294
678_348,0.13267
679_348,0.13267
680_273,1.16314
681_273,1.16314
682_298,1.06556
683_298,1.06556
684_323,0.98309
685_323,0.98309
686_348,0.91246
687_348,0.91246
688_273,0.49014
689_273,0.49014
690_298,0.44902
691_298,0.44902
692_323,0.41427
693_323,0.41427
694_348,0.38451
695_348,0.38451
696_273,0.86187
697_273,0.86187
698_298,0.78957
699_298,0.78957
700_323,0.72845
701_323,0.72845
702_348,0.67612
703_348,0.67612
704_273,0.06195
705_273,0.06195
706_298,0.05675
707_298,0.05675
708_323,0.05236
709_323,0.05236
710_348,0.0486
711_348,0.0486
712_273,0.41101
713_273,0.41101
714_298,0.37653
715_298,0.37653
716_323,0.34738
717_323,0.34738
718_348,0.32243
719_348,0.32243
720_273,0.41997
721_273,0.41997
722_298,0.38473
723_298,0.38473
724_323,0.35495
725_323,0.35495
726_348,0.32946
727_348,0.32946
728_273,0.00983
729_273,0.00983
730_298,0.009
731_298,0.009
732_323,0.00831
733_323,0.00831
734_348,0.00771
735_348,0.00771
736_273,0.03915
737_273,0.03915
738_298,0.03586
739_298,0.03586
740_323,0.03309
741_323,0.03309
742_348,0.03071
743_348,0.03071
744_273,0.00119
745_273,0.00119
746_298,0.00109
747_298,0.00109
748_323,0.001
749_323,0.001
750_348,0.00093
751_348,0.00093
752_273,0.40913
753_273,0.40913
754_298,0.3748
755_298,0.3748
756_323,0.34579
757_323,0.34579
758_348,0.32095
759_348,0.32095
760_273,0.39436
761_273,0.39436
762_298,0.36128
763_298,0.36128
764_323,0.33331
765_323,0.33331
766_348,0.30937
767_348,0.30937
768_273,2.06883
769_273,2.06883
770_298,1.89527
771_298,1.89527
772_323,1.74858
773_323,1.74858
774_348,1.62296
775_348,1.62296
776_273,2.06883
777_273,2.06883
778_298,1.89527
779_298,1.89527
780_323,1.74858
781_323,1.74858
782_348,1.62296
783_348,1.62296
784_273,0.59458
785_273,0.59458
786_298,0.5447
787_298,0.5447
788_323,0.50254
789_323,0.50254
790_348,0.46644
791_348,0.46644
792_273,1.3213
793_273,1.3213
794_298,1.21045
795_298,1.21045
796_323,1.11677
797_323,1.11677
798_348,1.03654
799_348,1.03654
800_273,0.84863
801_273,0.84863
802_298,0.77744
803_298,0.77744
804_323,0.71726
805_323,0.71726
806_348,0.66574
807_348,0.66574
808_273,2.56218
809_273,2.56218
810_298,2.34723
811_298,2.34723
812_323,2.16556
813_323,2.16556
814_348,2.00999
815_348,2.00999
816_273,1.46043
817_273,1.46043
818_298,1.33791
819_298,1.33791
820_323,1.23436
821_323,1.23436
822_348,1.14568
823_348,1.14568
824_273,1.44368
825_273,1.44368
826_298,1.32257
827_298,1.32257
828_323,1.2202
829_323,1.2202
830_348,1.13255
831_348,1.13255
832_273,3.42095
833_273,3.42095
834_298,3.13396
835_298,3.13396
836_323,2.89139
837_323,2.89139
838_348,2.68368
839_348,2.68368
840_273,0.45229
841_273,0.45229
842_298,0.41434
843_298,0.41434
844_323,0.38227
845_323,0.38227
846_348,0.35481
847_348,0.35481
848_273,0.32925
849_273,0.32925
850_298,0.30163
851_298,0.30163
852_323,0.27828
853_323,0.27828
854_348,0.25829
855_348,0.25829
856_273,0.64983
857_273,0.64983
858_298,0.59532
859_298,0.59532
860_323,0.54924
861_323,0.54924
862_348,0.50978
863_348,0.50978
864_273,0.01743
865_273,0.01743
866_298,0.01597
867_298,0.01597
868_323,0.01473
869_323,0.01473
870_348,0.01367
871_348,0.01367
872_273,0.02064
873_273,0.02064
874_298,0.01891
875_298,0.01891
876_323,0.01745
877_323,0.01745
878_348,0.01619
879_348,0.01619
880_273,0.44447
881_273,0.44447
882_298,0.40718
883_298,0.40718
884_323,0.37567
885_323,0.37567
886_348,0.34868
887_348,0.34868
888_273,0.44447
889_273,0.44447
890_298,0.40718
891_298,0.40718
892_323,0.37567
893_323,0.37567
894_348,0.34868
895_348,0.34868
896_273,0.0
897_273,0.0
898_298,0.0
899_298,0.0
900_323,0.0
901_323,0.0
902_348,0.0
903_348,0.0
904_273,0.14275
905_273,0.14275
906_298,0.13077
907_298,0.13077
908_323,0.12065
909_323,0.12065
910_348,0.11198
911_348,0.11198
912_273,0.02237
913_273,0.02237
914_298,0.02049
915_298,0.02049
916_323,0.0189
917_323,0.0189
918_348,0.01755
919_348,0.01755
920_273,0.68728
921_273,0.68728
922_298,0.62962
923_298,0.62962
924_323,0.58089
925_323,0.58089
926_348,0.53916
927_348,0.53916
928_273,0.19082
929_273,0.19082
930_298,0.17481
931_298,0.17481
932_323,0.16128
933_323,0.16128
934_348,0.14969
935_348,0.14969
936_273,0.18479
937_273,0.18479
938_298,0.16929
939_298,0.16929
940_323,0.15619
941_323,0.15619
942_348,0.14497
943_348,0.14497
944_273,1.16192
945_273,1.16192
946_298,1.06444
947_298,1.06444
948_323,0.98206
949_323,0.98206
950_348,0.91151
951_348,0.91151
952_273,0.59546
953_273,0.59546
954_298,0.5455
955_298,0.5455
956_323,0.50328
957_323,0.50328
958_348,0.46712
959_348,0.46712
960_273,5.05829
961_273,5.05829
962_298,4.63394
963_298,4.63394
964_323,4.27527
965_323,4.27527
966_348,3.96814
967_348,3.96814
968_273,4.62399
969_273,4.62399
970_298,4.23608
971_298,4.23608
972_323,3.90821
973_323,3.90821
974_348,3.62744
975_348,3.62744
976_273,5.6771
977_273,5.6771
978_298,5.20083
979_298,5.20083
980_323,4.79829
981_323,4.79829
982_348,4.45358
983_348,4.45358
984_273,2.91921
985_273,2.91921
986_298,2.67431
987_298,2.67431
988_323,2.46732
989_323,2.46732
990_348,2.29007
991_348,2.29007
992_273,2.95915
993_273,2.95915
994_298,2.7109
995_298,2.7109
996_323,2.50108
997_323,2.50108
998_348,2.32141
999_348,2.32141
1000_273,0.82784
1001_273,0.82784
1002_298,0.75839
1003_298,0.75839
1004_323,0.69969
1005_323,0.69969
1006_348,0.64942
1007_348,0.64942
1008_273,0.82784
1009_273,0.82784
1010_298,0.75839
1011_298,0.75839
1012_323,0.69969
1013_323,0.69969
1014_348,0.64942
1015_348,0.64942
1016_273,2.48727
1017_273,2.48727
1018_298,2.27861
1019_298,2.27861
1020_323,2.10225
1021_323,2.10225
1022_348,1.95122
1023_348,1.95122
1024_273,1.43693
1025_273,1.43693
1026_298,1.31638
1027_298,1.31638
1028_323,1.2145
1029_323,1.2145
1030_348,1.12725
1031_348,1.12725
1032_273,2.0363
1033_273,2.0363
1034_298,1.86547
1035_298,1.86547
1036_323,1.72108
1037_323,1.72108
1038_348,1.59744
1039_348,1.59744
1040_273,0.55878
1041_273,0.55878
1042_298,0.51191
1043_298,0.51191
1044_323,0.47229
1045_323,0.47229
1046_348,0.43836
1047_348,0.43836
1048_273,1.29896
1049_273,1.29896
1050_298,1.18998
1051_298,1.18998
1052_323,1.09788
1053_323,1.09788
1054_348,1.01901
1055_348,1.01901
1056_273,1.31484
1057_273,1.31484
1058_298,1.20454
1059_298,1.20454
1060_323,1.11131
1061_323,1.11131
1062_348,1.03147
1063_348,1.03147
1064_273,0.24862
1065_273,0.24862
1066_298,0.22776
1067_298,0.22776
1068_323,0.21013
1069_323,0.21013
1070_348,0.19504
1071_348,0.19504
1072_273,5.51404
1073_273,5.51404
1074_298,5.05146
1075_298,5.05146
1076_323,4.66048
1077_323,4.66048
1078_348,4.32567
1079_348,4.32567
1080_273,2.48549
1081_273,2.48549
1082_298,2.27697
1083_298,2.27697
1084_323,2.10074
1085_323,2.10074
1086_348,1.94982
1087_348,1.94982
1088_273,0.00423
1089_273,0.00423
1090_298,0.00387
1091_298,0.00387
1092_323,0.00357
1093_323,0.00357
1094_348,0.00332
1095_348,0.00332
1096_273,0.02681
1097_273,0.02681
1098_298,0.02456
1099_298,0.02456
1100_323,0.02266
1101_323,0.02266
1102_348,0.02103
1103_348,0.02103
1104_273,0.0047
1105_273,0.0047
1106_298,0.00431
1107_298,0.00431
1108_323,0.00397
1109_323,0.00397
1110_348,0.00369
1111_348,0.00369
1112_273,0.36666
1113_273,0.36666
1114_298,0.3359
