CID,n,M,C,O,N,Cl,S,H,C1O,C2O,C1C,C2C,C1N,C3N,C1Cl,C1S,#degree1,#degree2,#degree3,#degree4,#degree5,#degree6,#double_bond,#triple_bond,Diameter,bc_121,bc_122,bc_123,bc_131,bc_132,bc_141,bc_221,bc_222,bc_223,bc_231,bc_232,bc_241,bc_331,bc_332,bc_341,bc_441,2-branch_height,2-branch_number
7641,26,126.154,22,4,0,0,0,42,4,2,19,0,0,0,0,0,6,16,4,0,0,0,2,0,0.730769,4,0,0,0,2,0,9,0,0,10,0,0,0,0,0,0,1,2
7720,9,124.444,8,1,0,0,0,18,1,0,7,0,0,0,0,0,3,5,1,0,0,0,0,0,0.666667,3,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,2
7751,7,165,4,2,0,1,0,7,2,1,2,0,0,0,1,0,3,3,1,0,0,0,1,0,0.714286,2,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1
7819,9,128.889,7,2,0,0,0,12,2,1,4,1,0,0,0,0,4,3,2,0,0,0,2,0,0.666667,0,1,0,2,1,0,1,0,0,3,0,0,0,0,0,0,1,2
7843,4,120,4,0,0,0,0,10,0,0,3,0,0,0,0,0,2,2,0,0,0,0,0,0,0.75,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
7844,4,120,4,0,0,0,0,8,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0.75,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
7868,8,120,8,0,0,0,0,16,0,0,6,1,0,0,0,0,5,1,1,1,0,0,1,0,0.5,0,0,0,1,1,3,0,0,0,1,0,1,0,0,0,0,0,0
7870,8,130,6,2,0,0,0,14,2,0,5,0,0,0,0,0,5,1,1,1,0,0,0,0,0.5,0,0,0,2,0,3,0,0,0,1,0,1,0,0,0,0,0,0
7892,6,120,6,0,0,0,0,14,0,0,5,0,0,0,0,0,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7895,6,126.667,5,1,0,0,0,10,0,1,4,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7900,6,133.333,4,2,0,0,0,10,3,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
7904,6,133.333,4,2,0,0,0,6,2,1,1,1,0,0,0,0,3,2,1,0,0,0,2,0,0.666667,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
7912,7,122.857,6,0,1,0,0,15,0,0,4,0,2,0,0,0,4,1,2,0,0,0,0,0,0.571429,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7914,7,125.714,6,1,0,0,0,14,2,0,4,0,0,0,0,0,4,1,2,0,0,0,0,0,0.571429,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0
7915,7,131.429,5,2,0,0,0,10,2,1,3,0,0,0,0,0,4,1,2,0,0,0,1,0,0.571429,0,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
7918,7,137.143,4,3,0,0,0,6,2,2,2,0,0,0,0,0,4,1,2,0,0,0,2,0,0.571429,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
7958,10,124,9,1,0,0,0,18,0,1,8,0,0,0,0,0,5,2,3,0,0,0,1,0,0.6,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,1,2
7959,10,128,8,2,0,0,0,16,2,1,6,0,0,0,0,0,5,2,3,0,0,0,1,0,0.6,0,0,0,4,1,0,0,0,0,4,0,0,0,0,0,0,1,2
7991,7,131.429,5,2,0,0,0,10,1,1,4,0,0,0,0,0,3,3,1,0,0,0,1,0,0.714286,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,1
8003,5,120,5,0,0,0,0,12,0,0,4,0,0,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8007,5,124,4,0,1,0,0,11,0,0,3,0,1,0,0,0,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8008,5,124,4,0,1,0,0,7,0,0,3,0,0,1,0,0,2,3,0,0,0,0,0,1,0.8,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8012,5,160,4,0,0,0,1,10,0,0,3,0,0,0,0,1,2,3,0,0,0,0,0,0,0.8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8023,5,128,4,1,0,0,0,8,2,0,1,1,0,0,0,0,2,3,0,0,0,0,1,0,0.8,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8058,6,120,6,0,0,0,0,14,0,0,5,0,0,0,0,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
8062,6,126.667,4,0,2,0,0,4,0,0,3,0,0,2,0,0,2,4,0,0,0,0,0,2,0.833333,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
8064,6,133.333,4,2,0,0,0,10,2,0,3,0,0,0,0,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
8067,6,153.333,5,0,0,0,1,12,0,0,4,0,0,0,0,1,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
8071,6,133.333,4,2,0,0,0,10,4,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
8102,7,122.857,6,0,1,0,0,15,0,0,5,0,1,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8103,7,125.714,6,1,0,0,0,14,1,0,5,0,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8105,7,131.429,5,2,0,0,0,12,2,0,4,0,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8117,7,137.143,4,3,0,0,0,10,4,0,2,0,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8128,8,125,6,0,2,0,0,8,0,0,5,0,0,2,0,0,2,6,0,0,0,0,0,2,0.875,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
8129,8,125,7,1,0,0,0,16,1,0,6,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
8130,8,125,7,1,0,0,0,14,0,1,6,0,0,0,0,0,2,6,0,0,0,0,1,0,0.875,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
8133,8,130,6,2,0,0,0,14,3,0,4,0,0,0,0,0,2,6,0,0,0,0,0,0,0.875,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,2
8141,9,120,9,0,0,0,0,20,0,0,8,0,0,0,0,0,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2
8142,9,146.111,8,0,0,1,0,17,0,0,7,0,0,0,1,0,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2
8158,11,127.273,9,2,0,0,0,18,1,1,8,0,0,0,0,0,3,7,1,0,0,0,1,0,0.818182,1,0,0,1,1,0,6,0,0,1,0,0,0,0,0,0,1,2
8174,11,123.636,10,1,0,0,0,22,1,0,9,0,0,0,0,0,2,9,0,0,0,0,0,0,0.909091,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2
8193,13,123.077,12,1,0,0,0,26,1,0,11,0,0,0,0,0,2,11,0,0,0,0,0,0,0.923077,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2
8200,13,135.385,8,5,0,0,0,18,8,0,4,0,0,0,0,0,2,11,0,0,0,0,0,0,0.923077,2,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2
8202,21,123.81,19,2,0,0,0,36,2,1,16,1,0,0,0,0,3,17,1,0,0,0,2,0,0.904762,2,0,0,0,1,0,14,1,0,2,0,0,0,0,0,0,1,2
8285,9,137.778,5,4,0,0,0,12,4,0,4,0,0,0,0,0,4,4,0,1,0,0,0,0,0.444444,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
8471,7,122.857,6,0,1,0,0,15,0,0,3,0,3,0,0,0,3,3,1,0,0,0,0,0,0.571429,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
8821,7,131.429,5,2,0,0,0,8,2,1,2,1,0,0,0,0,3,3,1,0,0,0,2,0,0.714286,1,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1
8846,9,128.889,7,2,0,0,0,12,2,1,4,1,0,0,0,0,3,5,1,0,0,0,2,0,0.777778,1,1,0,0,1,0,3,0,0,2,0,0,0,0,0,0,1,2
8857,6,133.333,4,2,0,0,0,8,2,1,2,0,0,0,0,0,3,2,1,0,0,0,1,0,0.666667,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
8858,7,125.714,6,1,0,0,0,10,0,1,4,1,0,0,0,0,4,1,2,0,0,0,2,0,0.571429,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
8892,8,130,6,2,0,0,0,12,1,1,5,0,0,0,0,0,3,4,1,0,0,0,1,0,0.75,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,1,2
8900,7,120,7,0,0,0,0,16,0,0,6,0,0,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8902,7,122.857,6,0,1,0,0,15,0,0,4,0,2,0,0,0,2,5,0,0,0,0,0,0,0.857143,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,2
8909,9,124.444,8,1,0,0,0,18,2,0,6,0,0,0,0,0,2,7,0,0,0,0,0,0,0.888889,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2
8914,10,124,9,1,0,0,0,20,1,0,8,0,0,0,0,0,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2
8946,10,128,8,2,0,0,0,18,2,0,7,0,0,0,0,0,6,1,2,1,0,0,0,0,0.5,1,0,0,3,0,2,0,0,0,0,0,1,1,0,1,0,1,1
10041,5,120,5,0,0,0,0,12,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0.4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
10977,6,159.167,5,0,0,1,0,11,0,0,4,0,0,0,1,0,2,4,0,0,0,0,0,0,0.833333,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1
11005,16,125,14,2,0,0,0,28,1,1,13,0,0,0,0,0,3,12,1,0,0,0,1,0,0.875,1,0,0,1,1,0,11,0,0,1,0,0,0,0,0,0,1,2
11006,16,120,16,0,0,0,0,34,0,0,15,0,0,0,0,0,2,14,0,0,0,0,0,0,0.9375,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,2
11583,7,125.714,6,1,0,0,0,12,0,1,5,0,0,0,0,0,3,3,1,0,0,0,1,0,0.714286,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,1,1
12278,9,128.889,7,2,0,0,0,14,2,1,5,0,0,0,0,0,4,3,2,0,0,0,1,0,0.666667,1,0,0,2,1,0,1,0,0,3,0,0,0,0,0,0,1,2
12582,9,124.444,8,1,0,0,0,14,0,1,6,1,0,0,0,0,3,5,1,0,0,0,2,0,0.666667,2,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,2
12971,6,198.333,4,0,0,2,0,6,0,0,2,1,0,0,2,0,3,2,1,0,0,0,1,0,0.666667,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
13190,11,120,11,0,0,0,0,22,0,0,9,1,0,0,0,0,2,9,0,0,0,0,1,0,0.909091,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,2
13381,10,120,10,0,0,0,0,20,0,0,8,1,0,0,0,0,2,8,0,0,0,0,1,0,0.9,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2
14260,14,120,14,0,0,0,0,28,0,0,12,1,0,0,0,0,2,12,0,0,0,0,1,0,0.928571,1,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,2
14846,6,133.333,4,2,0,0,0,10,3,0,2,0,0,0,0,0,3,2,1,0,0,0,0,0,0.666667,2,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
15122,6,198.333,4,0,0,2,0,6,0,0,2,1,0,0,2,0,2,4,0,0,0,0,1,0,0.833333,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
15413,6,126.667,5,1,0,0,0,12,2,0,3,0,0,0,0,0,4,1,0,1,0,0,0,0,0.5,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,1,1
15600,10,120,10,0,0,0,0,22,0,0,9,0,0,0,0,0,2,8,0,0,0,0,0,0,0.9,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,2
17095,13,120,13,0,0,0,0,26,0,0,11,1,0,0,0,0,2,11,0,0,0,0,1,0,0.923077,1,1,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2
19499,6,133.333,4,2,0,0,0,6,1,1,2,1,0,0,0,0,3,2,1,0,0,0,2,0,0.666667,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
24750,16,125,14,2,0,0,0,30,3,0,12,0,0,0,0,0,2,14,0,0,0,0,0,0,0.9375,2,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,2
24874,5,124,4,0,1,0,0,11,0,0,3,0,1,0,0,0,3,1,1,0,0,0,0,0,0.6,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,1
31260,6,126.667,5,1,0,0,0,12,1,0,4,0,0,0,0,0,3,2,1,0,0,0,0,0,0.666667,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
31261,7,131.429,5,2,0,0,0,8,0,2,4,0,0,0,0,0,4,1,2,0,0,0,2,0,0.571429,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0
31272,8,130,6,2,0,0,0,12,2,1,4,0,0,0,0,0,3,4,1,0,0,0,1,0,0.75,1,0,0,1,1,0,3,0,0,1,0,0,0,0,0,0,1,2
31276,9,128.889,7,2,0,0,0,14,2,1,5,0,0,0,0,0,4,3,2,0,0,0,1,0,0.666667,0,0,0,3,1,0,2,0,0,2,0,0,0,0,0,0,1,2
31285,9,120,9,0,0,0,0,18,0,0,7,1,0,0,0,0,2,7,0,0,0,0,1,0,0.888889,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,2
31374,6,130,4,1,1,0,0,9,0,1,1,0,3,0,0,0,4,0,2,0,0,0,1,0,0.5,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,1,1
62695,4,120,4,0,0,0,0,8,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0.75,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
82170,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
125468,7,131.429,5,2,0,0,0,8,1,1,3,1,0,0,0,0,4,1,2,0,0,0,2,0,0.571429,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0
444266,8,140,4,4,0,0,0,4,2,2,2,1,0,0,0,0,4,2,2,0,0,0,3,0,0.625,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,1,1
444972,8,140,4,4,0,0,0,4,2,2,2,1,0,0,0,0,4,2,2,0,0,0,3,0,0.625,0,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,1,1
447466,5,128,4,1,0,0,0,6,0,1,2,1,0,0,0,0,2,3,0,0,0,0,2,0,0.8,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
637090,6,133.333,4,2,0,0,0,6,1,1,2,1,0,0,0,0,3,2,1,0,0,0,2,0,0.666667,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
642197,6,198.333,4,0,0,2,0,6,0,0,2,1,0,0,2,0,2,4,0,0,0,0,1,0,0.833333,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
643460,8,130,6,2,0,0,0,8,1,1,3,2,0,0,0,0,3,4,1,0,0,0,3,0,0.75,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,2
643792,6,133.333,4,2,0,0,0,6,1,1,2,1,0,0,0,0,3,2,1,0,0,0,2,0,0.666667,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
1549236,8,130,6,2,0,0,0,8,1,1,3,2,0,0,0,0,3,4,1,0,0,0,3,0,0.75,1,0,0,1,1,0,1,2,0,1,0,0,0,0,0,0,1,2
5280450,20,124,18,2,0,0,0,32,1,1,15,2,0,0,0,0,3,16,1,0,0,0,3,0,0.9,1,0,0,1,1,0,13,2,0,1,0,0,0,0,0,0,1,2
5280590,21,123.81,19,2,0,0,0,36,2,1,16,1,0,0,0,0,3,17,1,0,0,0,2,0,0.904762,2,0,0,0,1,0,14,1,0,2,0,0,0,0,0,0,1,2
5282457,20,124,18,2,0,0,0,32,1,1,15,2,0,0,0,0,3,16,1,0,0,0,3,0,0.9,1,0,0,1,1,0,13,2,0,1,0,0,0,0,0,0,1,2
5282797,20,124,18,2,0,0,0,32,1,1,15,2,0,0,0,0,3,16,1,0,0,0,3,0,0.9,1,0,0,1,1,0,13,2,0,1,0,0,0,0,0,0,1,2
5287573,4,120,4,0,0,0,0,8,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,0,0.75,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
5354264,9,124.444,8,1,0,0,0,14,0,1,6,1,0,0,0,0,3,5,1,0,0,0,2,0,0.666667,2,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,2
5364509,21,123.81,19,2,0,0,0,36,2,1,16,1,0,0,0,0,3,17,1,0,0,0,2,0,0.904762,2,0,0,0,1,0,14,1,0,2,0,0,0,0,0,0,1,2
6432115,6,198.333,4,0,0,2,0,6,0,0,2,1,0,0,2,0,2,4,0,0,0,0,1,0,0.833333,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
10997035,9,124.444,8,1,0,0,0,14,0,1,6,1,0,0,0,0,3,5,1,0,0,0,2,0,0.666667,2,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,2
71308275,12,140,6,6,0,0,0,14,6,0,5,0,0,0,0,0,6,2,4,0,0,0,0,0,0.583333,2,0,0,4,0,0,0,0,0,2,0,0,3,0,0,0,1,2
