Ademola	10256	941	941	0	MLR	0.5734648669763538	0.5369321452005502	0.6492366618230541	-3.241990024174711e+24	-5.187934219716263e+25	-5.220224444841142e+18	55.11845636367798	
Aqsol	8230	965	965	0	MLR	0.7812300654370369	0.7319539390222369	0.7891364711361295	-5.440556510110919e+24	-2.474631453381145e+25	-7.550641766613695e+22	128.59919691085815	
Aqua	1220	364	364	0	MLR	0.900429184676665	0.889395113440845	0.9069058904910605	-4.7577091051746814e+23	-1.2309539911730675e+25	-8.22252914531058e+19	5.128158330917358	
CharlsN_R	9150	835	835	0	MLR	0.7933194434317359	0.7847970600156214	0.8004393593598638	-1.5408083881291568e+21	-8.221692347022512e+23	-3.937737123694584e+17	36.30437898635864	
Cui	6678	766	766	0	MLR	0.8222676370769109	0.8119861717722886	0.8395989061823614	-9.059651555430027e+23	-7.497065679323563e+24	-7.395036246291948e+19	228.5888159275055	
Daniel	915	373	373	0	MLR	0.8950142311542252	0.7621434556636233	0.9455908670177817	-7.899270771448669e+24	-1.6446347308446438e+26	-1.3558795920765706e+19	7.768273830413818	
David	826	263	263	0	MLR	0.9165575593549279	0.9054175250229879	0.9233902345453073	-7.211407881263089e+21	-2.6550478229789563e+25	-4.393636337241501e+18	4.263016700744629	
Grigorev	362	173	173	0	MLR	0.8807336077754782	-0.6381653057006971	0.9186637626091794	-2.341096572751506e+23	-9.320963659017466e+25	-19595550547.594547	1.3717050552368164	
Jain	456	223	223	0	MLR	0.9780043003352709	0.9753541734364034	0.981317671300446	-1.7610134522483156e+22	-2.9175562286207124e+24	-20648196432.54678	2.09653377532959	
Lovric	805	323	323	0	MLR	0.8534458117815915	0.7754824810920713	0.8749978913803952	-6.815062827788143e+22	-1.919551773907715e+25	-8.979656070061467e+18	10.318646907806396	
Ochem	6006	668	668	0	MLR	0.8710287844753644	0.8580029594862253	0.8764943295114063	-4.983747303813924e+22	-3.709950764881833e+24	-4.427428887150083e+19	76.03801989555359	
Phys	1812	469	469	0	MLR	0.9031714863190179	0.883637184465742	0.9082312061881945	-3.645767986566838e+23	-5.629011143687269e+25	-6.316454947233386e+18	22.710054636001587	
Tang	1221	364	364	0	MLR	0.9000313028727923	0.8455268105030935	0.9089954350211717	-2.4788150314764702e+23	-5.14537820718506e+25	-1.0397620543653919e+20	8.762001514434814	
Training_set	5315	675	675	0	MLR	0.8283391819555419	0.8210664139257924	0.8361387461011107	-1.2469726530910812e+23	-3.104838044035601e+25	-6.290511642958645e+18	19.192056894302368	
Wang	1414	405	405	0	MLR	0.8610964488559144	0.817049133534051	0.8732268659877582	-5.767865858771849e+23	-4.203763316304299e+25	-1.5654635192903365e+18	13.408896923065186	
Water_set_wide	845	320	320	0	MLR	0.8925241447921898	0.42171528320449536	0.909543914677018	-2.1069148368352726e+23	-1.0195291308590284e+25	-4.5233507271874713e+21	5.726168394088745	
