CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_O2_1_/_2_/_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_/_/_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_13_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_14_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2
Poly(1-pentene),0.047619,0,0.047619,0,0,0,0.0588235,0.142857,0,0.5,0,0.166667,0,0,0,0.0526316,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0.0625,0.0833333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly[oxy(2_6-diphenyl-1_4-phenylene)],0.714286,1,0.809524,0,0.748546,0,0.705882,0.857143,0,0,0.631579,1,0,1,0,0.842105,0,0.5,0,0,0.266667,1,0.666667,0.666667,0,0,0,1,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(tetramethyleneAdipate),0.47619,0,0.47619,0.555556,0.467213,0,0.529412,0.285714,0,0,0.578947,0,0,0,0,0.421053,0,1,0,0.5,0.4,0,0.333333,0,0,0,0.5,0,0,0,0,0.5,0.428571,0,1,0,0,0,0.5,0,0,0.5,0,0,1,0.5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polyoxytetramethylene,0.047619,0,0.142857,0.166667,0.203657,0,0.235294,0,0,0,0.210526,0,0,0,0,0.105263,0,0.5,0,0,0.2,0,0,0,0,0,0.5,0,0,0,0,0,0.214286,0,0,0,0,0,0.5,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(1-hexene),0.0952381,0,0.0952381,0,0,0,0.117647,0.142857,0,0.5,0.0526316,0.166667,0,0,0,0.105263,0,0,0.5,0,0.0666667,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0.125,0.0833333,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly[oxy(2_6-dimethyl-1_4-phenylene)],0.238095,0.333333,0.238095,0,0.558824,0,0.117647,0.571429,0,0,0.210526,0.333333,0,0.333333,0,0.210526,0,0.5,0.5,0,0,0,0.333333,0.333333,0,0,0,0.333333,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0.666667,0,0,0,0.166667,0,0.5,0.333333,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polyisobutylene,0,0,0,0,0,0,0,0,1,0,0.0526316,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.666667,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0
Poly(octadecylMethacrylate),0.952381,0,0.857143,0,0.106185,0,1,0.142857,1,0.5,0.894737,0.166667,0,0,0,0.894737,0,0.5,0.75,0.25,1,0,0,0,0.666667,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0.666667,0,0.5,1,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(trimethyleneSuccinate),0.333333,0,0.333333,0.388889,0.667447,0,0.352941,0.285714,0,0,0.421053,0,0,0,0,0.263158,0,1,0,0.5,0.2,0,0.333333,0,0,0,0.5,0,0,0,0,0.5,0.214286,0,1,0,0,0,0.5,0,0,0.5,0,0,1,0.3125,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(vinylAcetate),0.0952381,0,0.047619,0,0.584016,0,0.0588235,0.142857,0,0.5,0,0.166667,0,0,0,0,0,0.5,0.5,0.25,0,0,0.333333,0,0,0,0,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0.333333,0,0.5,0.0625,0.0833333,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,1,0,0,0
Poly(vinylP-t-butylBenzoate),0.52381,0.333333,0.380952,0,0.447118,0,0.294118,0.571429,0,0,0.368421,0.333333,0,0.333333,0,0.368421,0,0.5,1,0.25,0.0666667,0.25,0.666667,0.333333,0,0,0,0.333333,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0.5,0.0625,0.416667,0.5,0.5,0.166667,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0
Poly(ethyleneSebacate),0.571429,0,0.571429,0.666667,0.389344,0,0.647059,0.285714,0,0,0.684211,0,0,0,0,0.526316,0,1,0,0.5,0.533333,0,0.333333,0,0,0,0.5,0,0,0,0,0.5,0.571429,0,1,0,0,0,0.5,0,0,0.5,0,0,1,0.625,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polyisoprene,0.047619,0,0.0952381,0.111111,0.131778,0,0.117647,0.142857,0,0,0.157895,0,0,0.111111,0,0.105263,0,0,0.25,0,0.133333,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0.142857,0,0.5,1,0,0,0,0,0,0,0.333333,0,0,0.125,0.0833333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(trimethyleneAdipate),0.428571,0,0.428571,0.5,0.519126,0,0.470588,0.285714,0,0,0.526316,0,0,0,0,0.368421,0,1,0,0.5,0.333333,0,0.333333,0,0,0,0.5,0,0,0,0,0.5,0.357143,0,1,0,0,0,0.5,0,0,0.5,0,0,1,0.4375,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(12-aminododecanoicAcid),0.47619,0,0.52381,0.611111,0.153633,0,0.647059,0.142857,0,0,0.631579,0,0,0,0,0.526316,0.5,0,0,0.25,0.666667,0,0.166667,0,0,0.5,0,0,0,0,0.5,0,0.714286,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0.6875,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(2-methyl-1_4-pentadiene),0.0952381,0,0.142857,0.166667,0.10707,0,0.176471,0.142857,0,0,0.210526,0,0,0.111111,0,0.157895,0,0,0.25,0,0.2,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0.214286,0,0.5,1,0,0,0,0,0,0,0.333333,0,0,0.1875,0.0833333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(vinylP-ethylbenzoate),0.428571,0.333333,0.380952,0,0.554426,0,0.294118,0.571429,0,0,0.368421,0.333333,0,0.333333,0,0.368421,0,0.5,0.5,0.25,0.0666667,0.25,0.666667,0.333333,0,0,0,0.333333,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0.333333,0,0.5,0.0625,0.416667,0.5,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0
Poly(hexamethyleneSebacate),0.761905,0,0.761905,0.888889,0.292008,0,0.882353,0.285714,0,0,0.894737,0,0,0,0,0.736842,0,1,0,0.5,0.8,0,0.333333,0,0,0,0.5,0,0,0,0,0.5,0.857143,0,1,0,0,0,0.5,0,0,0.5,0,0,1,0.875,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polyoxynaphthoate,0.428571,0.666667,0.47619,0.0555556,1,0,0.352941,0.714286,0,0,0.368421,0.666667,0,0.555556,0,0.473684,0,0.5,0,0.25,0.0666667,0.25,0.666667,0.666667,0,0,0,0.666667,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0.5,0.5,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[di(n-propyl)Itaconate],0.52381,0,0.333333,0,0.424739,0,0.294118,0.285714,1,1,0.263158,0,1,0,0,0.263158,0,1,1,0.5,0,0,0.166667,0,1,0,0.5,0,0,1,0,0.5,0,0,0,0,1,0,0,0,0,0,0.666667,0,1,0.125,0,1,1,0.166667,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Nylon6_12,0.857143,0,0.857143,1,0.203015,0,1,0.285714,0,0,1,0,0,0,0,0.842105,1,0,0,0.5,0.933333,0,0.333333,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(vinylBenzoate),0.333333,0.333333,0.380952,0,0.729508,0,0.352941,0.428571,0,0,0.368421,0.333333,0,0.333333,0,0.368421,0,0.5,0,0.25,0.133333,0.5,0.5,0.166667,0,0,0,0.333333,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.0625,0.5,0.5,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Polystyrene,0.190476,0.333333,0.285714,0,0.428279,0,0.294118,0.285714,0,0,0.263158,0.333333,0,0.333333,0,0.315789,0,0,0,0,0.133333,0.5,0.5,0.166667,0,0,0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0625,0.5,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(tetramethyleneTerephthalate),0.571429,0.333333,0.571429,0.388889,0.745316,0,0.529412,0.571429,0,0,0.578947,0.333333,0,0.333333,0,0.526316,0,1,0,0.5,0.266667,0.25,0.333333,0.333333,0,0,0.5,0.666667,0,0,0,0.5,0.214286,0,0,0,0,0,0.5,1,0,0.5,0,0,1,0.25,0.333333,1,1,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(dodecylMethacrylate),0.666667,0,0.571429,0,0.146004,0,0.647059,0.142857,1,0.5,0.578947,0.166667,0,0,0,0.578947,0,0.5,0.75,0.25,0.6,0,0,0,0.666667,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0.666667,0,0.5,0.625,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(methylMethacrylate),0.142857,0,0.047619,0,0.467213,0,0,0.142857,1,0.5,0,0.166667,0,0,0,0.0526316,0,0,0.5,0.5,0,0,0,0,0.666667,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.333333,0.5,0.5,0.0625,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(ethylAcrylate),0.142857,0,0.0952381,0,0.467213,0,0.0588235,0.285714,0,0.5,0.0526316,0.166667,0,0,0,0.0526316,0,0.5,0.5,0.25,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0.333333,0,0.5,0.0625,0.0833333,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0
Polypentadecanolactone,0.619048,0,0.666667,0.777778,0.155738,0,0.823529,0.142857,0,0,0.789474,0,0,0,0,0.684211,0,0.5,0,0.25,0.866667,0,0.166667,0,0,0,0.25,0,0,0,0,0.25,0.928571,0,0.5,0,0,0,0.25,0,0,0.25,0,0,0.5,0.875,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(hexamethyleneAdipamide),0.571429,0,0.571429,0.666667,0.29918,0,0.647059,0.285714,0,0,0.684211,0,0,0,0,0.526316,1,0,0,0.5,0.533333,0,0.333333,0,0,1,0,0,0,0,1,0,0.571429,0,1,0,0,1,0,0,1,0,0,0,1,0.625,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(dicyclooctylItaconate),1,0.666667,1,0,0.295638,0,1,0.571429,1,0,1,0.333333,1,0,0,1,0,1,0,0.5,0.8,0,0.833333,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.166667,1,1,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(ethyleneTerephthalate),0.47619,0.333333,0.47619,0.277778,0.948584,0,0.411765,0.571429,0,0,0.473684,0.333333,0,0.333333,0,0.421053,0,1,0,0.5,0.133333,0.25,0.333333,0.333333,0,0,0.5,0.666667,0,0,0,0.5,0.0714286,0,0,0,0,0,0.5,1,0,0.5,0,0,1,0.125,0.333333,1,1,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(n-butylAcrylate),0.238095,0,0.190476,0,0.333724,0,0.176471,0.285714,0,0.5,0.157895,0.166667,0,0,0,0.157895,0,0.5,0.5,0.25,0.0666667,0,0.333333,0,0,0,0.25,0.333333,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0.333333,0,0.5,0.125,0.0833333,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(p-methylStyrene),0.238095,0.333333,0.285714,0,0.360656,0,0.235294,0.428571,0,0,0.263158,0.333333,0,0.333333,0,0.315789,0,0,0.25,0,0.0666667,0.25,0.666667,0.333333,0,0,0,0.333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333,0,0,0.0625,0.416667,0,0,0.166667,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(11-aminoundecanoicAcid),0.428571,0,0.47619,0.555556,0.167189,0,0.588235,0.142857,0,0,0.578947,0,0,0,0,0.473684,0.5,0,0,0.25,0.6,0,0.166667,0,0,0.5,0,0,0,0,0.5,0,0.642857,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0.5,0.625,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(oxymethyleneoxytetramethylene),0.142857,0,0.238095,0.277778,0.311475,0,0.352941,0,0,0,0.315789,0,0,0,0,0.157895,0,1,0,0,0.2,0,0,0,0,0,1,0,0,0,0,0,0.214286,0,0,0,0,0,1,0,0,0,0,0,0,0.3125,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(n-hexylMethacrylate),0.380952,0,0.285714,0,0.233607,0,0.294118,0.142857,1,0.5,0.263158,0.166667,0,0,0,0.263158,0,0.5,0.75,0.25,0.2,0,0,0,0.666667,0,0.25,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0.666667,0,0.5,0.25,0,0.5,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
poly(ethylMethacrylate),0.190476,0,0.0952381,0,0.389344,0,0.0588235,0.142857,1,0.5,0.0526316,0.166667,0,0,0,0.0526316,0,0.5,0.75,0.25,0,0,0,0,0.666667,0,0,0,0,1,0,0.25,0,0,0,0,1,0,0,0,0,0,0.666667,0,0.5,0.0625,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.5,0,1,0,0
Poly(isobutylAcrylate),0.238095,0,0.142857,0,0.333724,0,0.117647,0.285714,0,0.5,0.105263,0.166667,0,0,0,0.105263,0,0.5,0.75,0.25,0,0,0.333333,0,0,0,0.25,0.333333,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0.666667,0,0.5,0.0625,0.0833333,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,1,0,0,0
Polyundecanolactone,0.428571,0,0.47619,0.555556,0.21237,0,0.588235,0.142857,0,0,0.578947,0,0,0,0,0.473684,0,0.5,0,0.25,0.6,0,0.166667,0,0,0,0.25,0,0,0,0,0.25,0.642857,0,0.5,0,0,0,0.25,0,0,0.25,0,0,0.5,0.625,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Polytridecanolactone,0.52381,0,0.571429,0.666667,0.179697,0,0.705882,0.142857,0,0,0.684211,0,0,0,0,0.578947,0,0.5,0,0.25,0.733333,0,0.166667,0,0,0,0.25,0,0,0,0,0.25,0.785714,0,0.5,0,0,0,0.25,0,0,0.25,0,0,0.5,0.75,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
