CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_N3,na_ex_O1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_N3_C4_3,LeafAC_O1_N3_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_8_N3_0_H1_1_/_1_/_0_0,FC_9_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_N3_0_/_/_0,FC_13_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_17_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_18_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_19_C4_0_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_20_C4_0_N3_1_O1_2_O1_2_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_21_C4_0_N3_1_O1_2_O1_2_/_1_1_1_/_0_0_0_0,FC_22_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_23_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_25_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_27_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_28_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_31_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_32_C4_0_O2_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_33_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_34_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_35_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2
EthylCellulose,0.52,0.25,0.346154,0,0.389947,0,0.263158,0.714286,0,1,0.1,0.833333,0,0,0,0.166667,0,1,1,0,0,0,0,0,0.166667,0,0,0,0,0.333333,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0,0,0,0,0.277778,0.0714286,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[diphenylmethaneBis(4-phenyl)carbonate],1,1,1,0.25,0.802191,0,1,1,0.5,0,1,1,1,1,0,1,0,0.4,0,0,0,0.333333,0.461538,1,1,1,0,0,0,0,0,0,1,0,0,0.666667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.5,1,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(m-nitrobenzylMethacrylate),0.48,0.25,0.346154,0,0.836084,0,0.315789,0.428571,0.5,0,0.4,0.333333,0,0.25,0,0.333333,0,0.2,0.166667,1,1,0.333333,0.0769231,0.166667,0.5,0.333333,0.5,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0.5,0.222222,0.142857,0.142857,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(1_2-butadiene),0,0,0,0,0.174257,0,0,0.142857,0,0,0.05,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,1,0,0,0
MethylCellulose,0.4,0.25,0.230769,0,0.506931,0,0.105263,0.714286,0,0.333333,0.15,0.5,0,0,0,0.166667,0,0.4,0.5,0,0,1,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0.166667,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(N-methylMethacrylamide),0.12,0,0.0384615,0,0.361386,0,0,0.142857,0.5,0.333333,0,0.166667,0,0,0,0.0416667,0,0,0.333333,1,0,0.333333,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,1,0,0,0,0,0.5,0,0.0714286,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,1,0,0
Poly(N-butylMethacrylamide),0.24,0,0.153846,0,0.231287,0,0.157895,0.142857,0.5,0.333333,0.15,0.166667,0,0,0,0.125,0.5,0,0.5,0,0,0.333333,0.0769231,0,0,0,0.5,0.5,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.142857,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly[1_1-(1-phenylethane)Bis(4-phenyl)carbonate],0.8,0.75,0.769231,0.25,0.768317,0,0.736842,0.857143,0.5,0,0.75,1,0,0.75,0,0.75,0,0.4,0.166667,0,0,0.333333,0.307692,0.666667,0.833333,0.833333,0,0,0,0,0,0,0.75,0,0,0.666667,0,0,0,0,0,0,0,0,0,1,0,1,0.25,0,0,0,0,0,0,0.5,0.722222,0,0.714286,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(cyclohexylMethacrylate),0.32,0.25,0.307692,0,0.316832,0,0.315789,0.285714,0.5,0,0.35,0.333333,0,0,0,0.291667,0,0.2,0.166667,0,0,0.333333,0.307692,0,0.333333,0,0.5,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.0555556,0.428571,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(3-methylcyclohexylMethacrylate),0.36,0.25,0.307692,0,0.286171,0,0.263158,0.428571,0.5,0,0.35,0.333333,0,0,0,0.291667,0,0.2,0.333333,0,0,0.333333,0.153846,0,0.666667,0,0.5,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.0555556,0.357143,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(p-methoxyStyrene),0.24,0.25,0.230769,0,0.483168,0,0.210526,0.428571,0,0,0.25,0.333333,0,0.25,0,0.25,0,0,0.166667,0,0,0.333333,0.0769231,0.166667,0.666667,0.333333,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.277778,0.0714286,0.142857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(isobutylMethacrylate),0.24,0,0.115385,0,0.29703,0,0.105263,0.142857,0.5,0.333333,0.1,0.166667,0,0,0,0.0833333,0,0.2,0.666667,0,0,0.333333,0,0,0,0,0.5,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0.5,0,0.0714286,0,0.5,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(hexamethyleneSebacamide),0.64,0,0.615385,1,0.231287,0,0.789474,0.285714,0,0,0.85,0,0,0,0,0.583333,1,0,0,0,0,0.666667,0.923077,0,0.333333,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Poly(1_2-diphenylethylMethacrylate),0.64,0.5,0.615385,0,0.554455,0,0.631579,0.571429,0.5,0,0.65,0.666667,0,0.5,0,0.625,0,0.2,0.166667,0,0,0.333333,0.307692,0.666667,0.666667,0.333333,0.5,0,0,0,0.25,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.611111,0.142857,0.285714,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(phenylMethacrylate),0.32,0.25,0.307692,0,0.640864,0,0.315789,0.285714,0.5,0,0.35,0.333333,0,0.25,0,0.291667,0,0.2,0.166667,0,0,0.333333,0.153846,0.333333,0.166667,0.166667,0.5,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.277778,0.0714286,0.142857,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(N-benzylMethacrylamide),0.36,0.25,0.346154,0,0.49048,0,0.368421,0.285714,0.5,0,0.4,0.333333,0,0.25,0,0.333333,0.5,0,0.166667,0,0,0.333333,0.153846,0.333333,0.333333,0.166667,0.5,0.5,0,0,0,0,0.25,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.277778,0.142857,0.142857,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(benzylMethacrylate),0.36,0.25,0.346154,0,0.56396,0,0.368421,0.285714,0.5,0,0.4,0.333333,0,0.25,0,0.333333,0,0.2,0.166667,0,0,0.333333,0.153846,0.333333,0.333333,0.166667,0.5,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.277778,0.142857,0.142857,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly[oxy(2_6-diphenyl-1_4-phenylene)],0.6,0.75,0.653846,0,0.761418,0,0.631579,0.857143,0,0,0.6,1,0,0.75,0,0.666667,0,0.2,0,0,0,0,0.307692,0.666667,0.666667,0.666667,0,0,0,0,0.75,1,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.666667,0,0.857143,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[2_2-butaneBis(4-phenyl)carbonate],0.64,0.5,0.538462,0.25,0.660066,0,0.473684,0.714286,0.5,0,0.55,0.666667,0,0.5,0,0.5,0,0.4,0.5,0,0,0.333333,0.153846,0.333333,0.666667,0.666667,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0,0,0,0,1,0,1,0.5,0,0,0,0,0,0,0.5,0.444444,0,0.571429,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[oxy(2_6-dimethyl-1_4-phenylene)],0.2,0.25,0.192308,0,0.568433,0,0.105263,0.571429,0,0,0.2,0.333333,0,0.25,0,0.166667,0,0.2,0.333333,0,0,0,0,0,0.333333,0.333333,0,0,0,0,0.25,1,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.111111,0,0.285714,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(2-isopropyl-1_4-butadiene),0.12,0,0.0769231,0.125,0.0917144,0,0.105263,0.142857,0,0,0.15,0,0,0.0833333,0,0.0833333,0,0,0.5,0,0,0,0.153846,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0.5,1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.0555556,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Polyisobutylene,0,0,0,0,0,0,0,0,0.5,0,0.05,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.0714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(o-methoxyStyrene),0.24,0.25,0.230769,0,0.483168,0,0.210526,0.428571,0,0,0.25,0.333333,0,0.25,0,0.25,0,0,0.166667,0,0,0.333333,0.0769231,0.333333,0.666667,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.277778,0.0714286,0.142857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Cellulose,0.28,0.25,0.192308,0,0.724187,0,0.0526316,0.714286,0,0,0.2,0.333333,0,0,0,0.125,0,0.4,0.166667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0.111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
Poly(2-hydroxyethylMethacrylate),0.2,0,0.115385,0,0.516936,0,0.105263,0.142857,0.5,0.333333,0.1,0.166667,0,0,0,0.0833333,0,0.2,0.333333,0,0,0.666667,0,0,0,0,0.5,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.25,0,0,0,0,0,0.333333,0.5,0,0.0714286,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,1,0,0
Poly(2-heptyl-1_4-butadiene),0.28,0,0.269231,0.125,0.0562121,0,0.368421,0.142857,0,0.333333,0.3,0.166667,0,0.0833333,0,0.291667,0,0,0.333333,0,0,0,0.461538,0,0.333333,0.166667,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0.5,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.428571,0.142857,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(3-methoxypropyleneOxide),0.08,0,0.0769231,0.0625,0.384724,0,0.105263,0.142857,0,0.333333,0.05,0.166667,0,0,0,0.0416667,0,0.2,0.166667,0,0,0.333333,0,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,0.5,0,0,0,0.5,0,0,0,0.25,0,0,0,0.333333,0,0,0,0,0.0555556,0.0714286,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(N-vinylCarbazole),0.44,0.75,0.5,0,0.654989,0,0.421053,0.857143,0,0,0.4,1,0,0.5,0,0.5,0.5,0,0,0,0,0,0.230769,0.5,0.666667,0.333333,0,0,0,0,0.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0714286,0.571429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinylAcetate),0.08,0,0.0384615,0,0.594059,0,0.0526316,0.142857,0,0.333333,0,0.166667,0,0,0,0,0,0.2,0.333333,0,0,0.333333,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.5,0.0555556,0.0714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(vinylN-butylEther),0.12,0,0.115385,0,0.14174,0,0.157895,0.142857,0,0.333333,0.1,0.166667,0,0,0,0.0833333,0,0.2,0.333333,0,0,0,0.0769231,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.142857,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(2-t-butyl-1_4-butadiene),0.16,0,0.0769231,0.125,0.0792079,0,0.105263,0.142857,0,0,0.15,0,0,0.0833333,0,0.0833333,0,0,0.666667,0,0,0,0.153846,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0.5,1,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0.0555556,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(2-methylcyclohexylMethacrylate),0.36,0.25,0.307692,0,0.286171,0,0.263158,0.428571,0.5,0,0.35,0.333333,0,0,0,0.291667,0,0.2,0.333333,0,0,0.333333,0.230769,0,0.333333,0,0.5,0,0,0,0.25,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.0555556,0.357143,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(N-vinylPyrrolidone),0.16,0.25,0.192308,0,0.442632,0,0.157895,0.428571,0,0,0.2,0.333333,0,0,0,0.166667,0.5,0,0,0,0,0.333333,0.153846,0,0.5,0,0,0,1,0,0,0,0,0,0.666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0555556,0.285714,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(p-isopropylStyrene),0.28,0.25,0.230769,0,0.278812,0,0.210526,0.428571,0,0,0.25,0.333333,0,0.25,0,0.25,0,0,0.5,0,0,0,0.0769231,0.166667,0.666667,0.333333,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.277778,0.0714286,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(1-phenylethylMethacrylate),0.4,0.25,0.346154,0,0.503536,0,0.315789,0.428571,0.5,0,0.4,0.333333,0,0.25,0,0.333333,0,0.2,0.333333,0,0,0.333333,0.153846,0.333333,0.166667,0.166667,0.5,0,0,0,0.25,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.277778,0.0714286,0.142857,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Polyisoprene,0.04,0,0.0769231,0.125,0.134044,0,0.105263,0.142857,0,0,0.15,0,0,0.0833333,0,0.0833333,0,0,0.166667,0,0,0,0.153846,0,0.166667,0.166667,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0.5,1,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.142857,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Poly(4-methylcyclohexylMethacrylate),0.36,0.25,0.307692,0,0.286171,0,0.263158,0.428571,0.5,0,0.35,0.333333,0,0,0,0.291667,0,0.2,0.333333,0,0,0.333333,0.153846,0,0.666667,0,0.5,0,0,0,0,0,0.25,0,0,0.333333,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0.0555556,0.357143,0,0.5,0.5,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(vinylN-decylEther),0.36,0,0.346154,0,0.0727857,0,0.473684,0.142857,0,0.333333,0.4,0.166667,0,0,0,0.333333,0,0.2,0.333333,0,0,0,0.538462,0,0.333333,0,0,0,0,0.333333,0,0,0,0,0,0.166667,0,0,0,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.0555556,0.571429,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0
Poly(t-butylMethacrylate),0.24,0,0.0769231,0,0.29703,0,0.0526316,0.142857,0.5,0.333333,0.05,0.166667,0,0,0,0.0416667,0,0.2,0.833333,0,0,0.333333,0,0,0,0,0.5,0,0,0,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0.0714286,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(2-nitro-2-methylpropylMethacrylate),0.36,0,0.153846,0,0.600152,0,0.105263,0.142857,1,0.333333,0.15,0.166667,0,0,0,0.125,0,0.2,0.5,1,1,0.333333,0,0,0,0,0.75,0,0,0.333333,0,0,0.25,0,0,0.166667,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,0,1,0,0.5,0,0.142857,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
