CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_4_N3_2_1,C4_4_O2_2_1,N3_2_N3_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_N3_3_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_O2_1,LeafAC_N3_C4_3,LeafAC_O2_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_/_/_0,FC_3_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_4_O2_0_/_/_0,FC_5_C4_0_O2_1_/_2_/_0_0,FC_6_N3_0_/_/_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_N3_0_H1_1_/_1_/_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_14_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_15_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_16_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_H1_1_H1_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_21_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_22_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_24_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_26_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_27_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_28_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_29_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_C4_1_N3_2_/_1_3_/_0_0_0,FC_32_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_33_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_34_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_35_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_H1_1_C4_1_H1_2_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_N3_3,CS_connecting_vertices_O2_2
Poly(p-xylylene),0.0740741,0.1,0.107143,0.05,0.353698,0,0.135135,0.1,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0,0,0,0.125,0.0833333,0.285714,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117647,0.1,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly[oxy(m-phenylene)],0.0555556,0.1,0.0892857,0,0.713242,0,0.108108,0.1,0,0,0.108108,0.1,0,0.107143,0,0.0769231,0,0.25,0,0,0,0.0625,0.0833333,0.142857,0.2,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.117647,0.1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Polycarbonate3,0.407407,0.5,0.410714,0.2,0.490354,0,0.378378,0.45,0.5,0,0.405405,0.4,0.5,0.214286,0,0.403846,0,0.5,0,0,0.166667,0.25,0.166667,0.642857,0.4,0.5,0,0,0,0,0.272727,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0.166667,0.352941,0.25,0.277778,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Polypentadiene,0.0185185,0,0.0357143,0.1,0.10883,0,0.0540541,0.05,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0.166667,0,0,0.0625,0.0833333,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,1,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0588235,0,0.0555556,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(methylAcrylate),0.037037,0,0.0178571,0,0.482315,0,0,0.1,0,0.5,0,0.05,0,0,0,0.0192308,0,0,0.166667,0,0.333333,0,0,0.142857,0,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.166667,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(4-cyclohexyl-1-butene),0.111111,0.1,0.142857,0,0.0505282,0,0.189189,0.1,0,0,0.189189,0.1,0,0,0,0.153846,0,0,0,0,0,0.3125,0,0.428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0.444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(n-butylMethacrylate),0.111111,0,0.0714286,0,0.241158,0,0.0810811,0.05,0.5,0.5,0.0810811,0.05,0,0,0,0.0576923,0,0.25,0.5,0,0.166667,0.0625,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.166667,0,0,0.111111,0.25,0.166667,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(p-n-propoxyStyrene),0.148148,0.1,0.142857,0,0.301756,0,0.162162,0.15,0,0.5,0.135135,0.15,0,0.107143,0,0.134615,0,0.25,0.333333,0,0,0.0625,0.0833333,0.285714,0.2,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.147059,0.1,0.0555556,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(o-ethylStyrene),0.111111,0.1,0.107143,0,0.257235,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.333333,0,0,0.0625,0.166667,0.285714,0,0,0,0,0,0,0.0909091,0.25,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polycarbonate2,0.351852,0.4,0.357143,0.2,0.539566,0,0.351351,0.35,0.5,0,0.378378,0.3,0.5,0.214286,0,0.346154,0,0.5,0,0,0.166667,0.1875,0.166667,0.642857,0.4,0.5,0,0,0,0,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0,0,0,0,0,0.166667,0.294118,0.25,0.222222,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(oxycarbonyl-3-methylpentamethylene),0.0925926,0,0.0892857,0.25,0.275609,0,0.108108,0.1,0,0,0.162162,0,0,0,0,0.0769231,0,0.25,0.166667,0,0.166667,0.125,0,0.214286,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.166667,0,0,0,0.125,0,0.75,0,0,0,0,0.5,0,0,0,0,0.166667,0.166667,0,0,0,0,0.166667,0,0,0.222222,0.25,0.166667,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
Polyoxyoctamethylene,0.0925926,0,0.125,0.35,0.0874598,0,0.216216,0,0,0,0.216216,0,0,0,0,0.115385,0,0.25,0,0,0,0.4375,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0.4375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444444,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1
Poly(2-hydroxypropylMethacrylate),0.111111,0,0.0535714,0,0.362467,0,0.0540541,0.05,0.5,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0.5,0,0.333333,0,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333,0,0,0,1,0.166667,0,0,0.0555556,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0,0
Poly(p-n-butoxyStyrene),0.166667,0.1,0.160714,0,0.27054,0,0.189189,0.15,0,0.5,0.162162,0.15,0,0.107143,0,0.153846,0,0.25,0.333333,0,0,0.125,0.0833333,0.285714,0.2,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.147059,0.1,0.111111,0.25,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(2-methoxyethylMethacrylate),0.111111,0,0.0714286,0,0.362467,0,0.0810811,0.05,0.5,0.5,0.0810811,0.05,0,0,0,0.0576923,0,0.25,0.333333,0,0.333333,0.0625,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166667,0,1,0,0,0.166667,0,0,0.111111,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(6-methyl-1-heptene),0.0740741,0,0.0535714,0,0,0,0.0810811,0.05,0,0.5,0.0540541,0.05,0,0,0,0.0576923,0,0,0.5,0,0,0.125,0,0.214286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.0294118,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(n-heptylAcrylate),0.148148,0,0.125,0,0.192926,0,0.162162,0.1,0,0.5,0.162162,0.05,0,0,0,0.115385,0,0.25,0.333333,0,0.166667,0.25,0,0.142857,0,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.0294118,0,0.277778,0.25,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(1-butene),0,0,0,0,0,0,0,0.05,0,0,0.027027,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(1_2-butadiene),0,0,0,0,0.141479,0,0,0.05,0,0,0.027027,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(n-hexylAcrylate),0.12963,0,0.107143,0,0.214362,0,0.135135,0.1,0,0.5,0.135135,0.05,0,0,0,0.0961538,0,0.25,0.333333,0,0.166667,0.1875,0,0.142857,0,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.0294118,0,0.222222,0.25,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(neopentylMethacrylate),0.12963,0,0.0535714,0,0.214362,0,0.0540541,0.05,0.5,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0.833333,0,0.166667,0,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0.166667,0,0,0.0555556,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(p-phenyleneTerephthalamide),0.259259,0.2,0.25,0.2,0.73955,0,0.243243,0.3,0,0,0.297297,0.2,0,0.214286,0,0.230769,0.333333,0,0,0,0.333333,0.125,0.166667,0.285714,0.4,0,0,0,0,0,0.181818,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.333333,0.235294,0.2,0,0,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(n-propylAcrylate),0.0740741,0,0.0535714,0,0.321543,0,0.0540541,0.1,0,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0.333333,0,0.166667,0,0,0.142857,0,0,0,0,0,0.333333,0.0909091,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.0294118,0,0.0555556,0.25,0.166667,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polyimide10,0.62963,0.6,0.535714,0.2,0.947316,0,0.351351,0.9,0,0,0.513514,0.6,0,0.428571,0,0.538462,0.333333,0,0,0,1,0.1875,0.25,0.571429,0.8,0,0,0,0,0,0.818182,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.411765,0.5,0,0,1,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly[1_1-(1-phenylethane)Bis(4-phenyl)carbonate],0.37037,0.3,0.357143,0.2,0.623794,0,0.378378,0.3,0.5,0,0.405405,0.3,0,0.321429,0,0.346154,0,0.5,0.166667,0,0.166667,0.25,0.333333,0.357143,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.666667,0.166667,0,0,0,0,0.166667,0.382353,0.25,0,0.5,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(cyclohexylMethacrylate),0.148148,0.1,0.142857,0,0.257235,0,0.162162,0.1,0.5,0,0.189189,0.1,0,0,0,0.134615,0,0.25,0.166667,0,0.166667,0.25,0,0.142857,0,1,0,0,0,0,0,0,0.166667,0,0,0,0.333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.0294118,0,0.333333,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(p-methoxyStyrene),0.111111,0.1,0.107143,0,0.392283,0,0.108108,0.15,0,0,0.135135,0.1,0,0.107143,0,0.115385,0,0,0.166667,0,0.166667,0.0625,0.0833333,0.285714,0.2,0,0,0,0,0,0.0909091,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.147059,0.05,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly(vinylIsopropylEther),0.037037,0,0.0178571,0,0.136656,0,0.027027,0.05,0,0.5,0,0.05,0,0,0,0,0,0.25,0.5,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0.0294118,0,0.0555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Poly[oxy(p-phenylene)],0.0555556,0.1,0.0892857,0,0.713242,0,0.108108,0.1,0,0,0.108108,0.1,0,0.107143,0,0.0769231,0,0.25,0,0,0,0.0625,0.0833333,0.142857,0.2,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.117647,0.1,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(isobutylMethacrylate),0.111111,0,0.0535714,0,0.241158,0,0.0540541,0.05,0.5,0.5,0.0540541,0.05,0,0,0,0.0384615,0,0.25,0.666667,0,0.166667,0,0,0,0,1,0,0,0,0.333333,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.166667,0,0,0.0555556,0.25,0.166667,0,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly[methaneBis(4-phenyl)carbonate],0.240741,0.2,0.25,0.2,0.714541,0,0.27027,0.25,0,0,0.297297,0.2,0,0.214286,0,0.230769,0,0.5,0,0,0.166667,0.125,0.166667,0.428571,0.4,0,0,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.666667,0,0,0,0,0,0.166667,0.235294,0.2,0.0555556,0.5,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Polyimide11,0.481481,0.5,0.410714,0.1,1,0,0.243243,0.75,0,0,0.378378,0.5,0,0.321429,0,0.403846,0.333333,0,0,0,0.833333,0.125,0.166667,0.428571,0.6,0,0,0,0,0,0.636364,0.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0.833333,0.294118,0.4,0,0,0.833333,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(2-ethyl-1_4-butadiene),0.037037,0,0.0357143,0.1,0.0884244,0,0.0540541,0.05,0,0,0.0810811,0,0,0.0357143,0,0.0384615,0,0,0.333333,0,0,0.125,0,0.0714286,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.25,1,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0.0294118,0,0.111111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(hexamethyleneSebacamide),0.296296,0,0.285714,0.8,0.187781,0,0.405405,0.1,0,0,0.459459,0,0,0,0,0.269231,0.333333,0,0,0,0.333333,0.75,0,0.142857,0,0,1,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0.75,0,0.5,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.333333,0,0,0.777778,0,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(phenylMethacrylate),0.148148,0.1,0.142857,0,0.520316,0,0.162162,0.1,0.5,0,0.189189,0.1,0,0.107143,0,0.134615,0,0.25,0.166667,0,0.166667,0.125,0.166667,0.0714286,0.1,1,0,0,0,0,0,0,0.166667,0,0,0,0.333333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0.166667,0.147059,0.05,0.0555556,0.25,0.166667,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Poly(o-vinylPyridine),0.0740741,0.1,0.107143,0,0.450161,0,0.135135,0.1,0,0,0.135135,0.1,0,0.107143,0,0.0961538,0.166667,0,0,0,0,0.125,0.0833333,0.142857,0.1,0,0,0.5,0,0,0.0909091,0,0,0.166667,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147059,0.05,0.0555556,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0
Polyquinoline9,0.648148,0.7,0.660714,0.1,0.674714,0,0.648649,0.7,0,0,0.648649,0.7,0,0.678571,0,0.653846,0.333333,0.25,0,0,0,0.3125,0.583333,0.857143,0.8,0,0,0,0,0,0.545455,0.5,0,0.333333,0.5,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,0,0,0,0,0,0,0.647059,0.7,0,0.25,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
