CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_ex_C4,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_3_1,C4_3_O2_2_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_/_1_/_0_0,FC_2_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_O2_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_10_N3_0_/_/_0,FC_11_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_15_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_16_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_17_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_18_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2
Poly(ethyleneOxalate),0.097561,0,0.108108,0.263158,1,0,0.157895,0.111111,0,0,0.208333,0,0,0,0,0.0606061,0,1,0,0.5,0.0714286,0,0,0,0,0,0,1,0.2,0,0,0,0,0.5,0.0714286,0,0,0,0,0,1,0.5,0,0,0,0.5,0,0,0,0.5,0,0.125,0,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(p-xylylene),0.097561,0.142857,0.162162,0.105263,0.366667,0,0.263158,0.111111,0,0,0.208333,0.142857,0,0.2,0,0.181818,0,0,0,0,0.142857,0.25,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0.0714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222,0.125,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(methylMethacrylate),0.0731707,0,0.027027,0.0526316,0.4,0,0,0.0555556,1,0.5,0,0.0714286,0,0,0,0.030303,0,0,0.333333,0.5,0,0,0,0,0.666667,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0,0.25,0,0.0625,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(4-methyl-1-pentene),0.0487805,0,0.027027,0.0526316,0,0,0.0526316,0.0555556,0,0.5,0,0.0714286,0,0,0,0.030303,0,0,0.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.0555556,0.0625,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly[oxy(2_6-dimethyl-1_4-phenylene)],0.121951,0.142857,0.135135,0.0526316,0.478431,0,0.105263,0.222222,0,0,0.166667,0.142857,0,0.2,0,0.121212,0,0.5,0.333333,0,0,0,0.2,0.2,0,0,0,0,0.2,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.111111,0,0.166667,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(p-methylStyrene),0.121951,0.142857,0.162162,0.0526316,0.308772,0,0.210526,0.166667,0,0,0.208333,0.142857,0,0.2,0,0.181818,0,0,0.166667,0,0.0714286,0.25,0.4,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.277778,0.0625,0.0833333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(N-vinylPyrrolidone),0.097561,0.142857,0.135135,0.0526316,0.372549,0,0.157895,0.166667,0,0,0.166667,0.142857,0,0,0,0.121212,0.5,0,0,0.25,0.142857,0,0.3,0,0,0,1,0,0,0,0,0,0.333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.0555556,0.25,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(vinylBenzoate),0.170732,0.142857,0.216216,0.0526316,0.624561,0,0.315789,0.166667,0,0,0.291667,0.142857,0,0.2,0,0.212121,0,0.5,0,0.25,0.142857,0.5,0.3,0.1,0,0,0,0,0.2,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.333333,0.0625,0.0833333,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(ethylMethacrylate),0.097561,0,0.0540541,0.0526316,0.333333,0,0.0526316,0.0555556,1,0.5,0.0416667,0.0714286,0,0,0,0.030303,0,0.5,0.5,0.25,0,0,0,0,0.666667,0,0,0,0,0,0.5,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.0625,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1,0,0
Polyoxynaphthoate,0.219512,0.285714,0.27027,0.105263,0.85614,0,0.315789,0.277778,0,0,0.291667,0.285714,0,0.333333,0,0.272727,0,0.5,0,0.25,0.0714286,0.25,0.4,0.4,0,0,0,0,0.4,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0.25,0.333333,0,0.333333,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(vinylButyral),0.146341,0.142857,0.162162,0.0526316,0.25,0,0.210526,0.166667,0,0.5,0.125,0.214286,0,0,0,0.121212,0,1,0.333333,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.166667,0.125,0,0,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(dimethylItaconate),0.170732,0,0.0810811,0.0526316,0.571429,0,0.0526316,0.111111,1,1,0.0416667,0,1,0,0,0.0909091,0,0,0.333333,1,0,0,0.1,0,1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5,0,0.125,0.0833333,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(n-butylAcrylate),0.121951,0,0.108108,0.0526316,0.285714,0,0.157895,0.111111,0,0.5,0.125,0.0714286,0,0,0,0.0909091,0,0.5,0.333333,0.25,0.0714286,0,0.2,0,0,0,0,0.5,0.2,0,0,0,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.0555556,0.125,0,0.25,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(vinylP-ethylbenzoate),0.219512,0.142857,0.216216,0.0526316,0.474667,0,0.263158,0.222222,0,0,0.291667,0.142857,0,0.2,0,0.212121,0,0.5,0.333333,0.25,0.0714286,0.25,0.4,0.2,0,0,0,0,0.2,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0.277778,0.0625,0.0833333,0.25,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0
Poly(isobutylMethacrylate),0.146341,0,0.0810811,0.0526316,0.25,0,0.105263,0.0555556,1,0.5,0.0833333,0.0714286,0,0,0,0.0606061,0,0.5,0.666667,0.25,0,0,0,0,0.666667,0,0,0.5,0,0,0.5,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0.75,0,0,0.25,0,0.0625,0,0.25,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(ethyleneTerephthalate),0.243902,0.142857,0.27027,0.315789,0.812121,0,0.368421,0.222222,0,0,0.375,0.142857,0,0.2,0,0.242424,0,1,0,0.5,0.142857,0.25,0.2,0.2,0,0,0,1,0.4,0,0,0,0,0.5,0.0714286,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0.222222,0.125,0.166667,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(vinylP-isopropylbenzoate),0.243902,0.142857,0.216216,0.0526316,0.42381,0,0.263158,0.222222,0,0,0.291667,0.142857,0,0.2,0,0.212121,0,0.5,0.5,0.25,0.0714286,0.25,0.4,0.2,0,0,0,0,0.2,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0.25,0.277778,0.0625,0.0833333,0.25,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly(n-butylMethacrylate),0.146341,0,0.108108,0.0526316,0.25,0,0.157895,0.0555556,1,0.5,0.125,0.0714286,0,0,0,0.0909091,0,0.5,0.5,0.25,0.0714286,0,0,0,0.666667,0,0,0.5,0,0,0.5,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.25,0,0.125,0,0.25,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(N-vinylCarbazole),0.268293,0.428571,0.351351,0.0526316,0.551282,0,0.421053,0.333333,0,0,0.333333,0.428571,0,0.4,0,0.363636,0.5,0,0,0,0.214286,0.75,0.4,0.2,0,0,0,0,0.4,1,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.0625,0.333333,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0
Poly[oxy(2_6-diisopropyl-1_4-phenylene)],0.219512,0.142857,0.135135,0.0526316,0.28046,0,0.105263,0.222222,0,0,0.166667,0.142857,0,0.2,0,0.121212,0,0.5,1,0,0,0,0.2,0.2,0,0,0,0,0.2,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0.111111,0,0.166667,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly[oxy(2_6-diisopropyl-1_4-phenylene)],0.219512,0.142857,0.135135,0.0526316,0.28046,0,0.105263,0.222222,0,0,0.166667,0.142857,0,0.2,0,0.121212,0,0.5,1,0,0,0,0.2,0.2,0,0,0,0,0.2,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0.111111,0,0.166667,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(p-methacryloxyBenzoicAcid),0.268293,0.142857,0.216216,0.0526316,0.714667,0,0.263158,0.166667,1,0,0.291667,0.142857,0,0.2,0,0.212121,0,0.5,0.333333,0.75,0.0714286,0.25,0.2,0.2,0.666667,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0.5,0.5,0.222222,0.0625,0.0833333,0.25,0.5,0,0.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,1,0,0
Poly(tetramethyleneTerephthalate),0.292683,0.142857,0.324324,0.421053,0.638095,0,0.473684,0.222222,0,0,0.458333,0.142857,0,0.2,0,0.30303,0,1,0,0.5,0.285714,0.25,0.2,0.2,0,0,0,1,0.4,0,0,0,0,0.5,0.214286,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0.222222,0.25,0.166667,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(ethylene-2_6-naphthalenedicarboxylate),0.341463,0.285714,0.378378,0.315789,0.795238,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.333333,0,0.363636,0,1,0,0.5,0.142857,0.25,0.4,0.4,0,0,0,1,0.6,0,0,0,0,0.5,0.0714286,0,0,0,0,0,1,1,0,0,0,0.5,0,0,0,0.5,0.333333,0.125,0.333333,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1
Poly(m-phenyleneTerephthalamide),0.341463,0.285714,0.378378,0.263158,0.766667,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.4,0,0.363636,1,0,0,0.5,0.142857,0.5,0.4,0.4,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.444444,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Poly(vinylP-t-butylbenzoate),0.268293,0.142857,0.216216,0.0526316,0.382796,0,0.263158,0.222222,0,0,0.291667,0.142857,0,0.2,0,0.212121,0,0.5,0.666667,0.25,0.0714286,0.25,0.4,0.2,0,0,0,0,0.2,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0.75,0,0,0.25,0.277778,0.0625,0.0833333,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0,0
Poly(p-phenyleneIsophthalamide),0.341463,0.285714,0.378378,0.263158,0.766667,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.4,0,0.363636,1,0,0,0.5,0.142857,0.5,0.4,0.4,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.444444,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Poly[oxy(2_6-diphenyl-1_4-phenylene)],0.365854,0.428571,0.459459,0.0526316,0.64086,0,0.631579,0.333333,0,0,0.5,0.428571,0,0.6,0,0.484848,0,0.5,0,0,0.285714,1,0.4,0.4,0,0,0,0,0.6,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.666667,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly(m-phenyleneIsophthalamide),0.341463,0.285714,0.378378,0.263158,0.766667,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.4,0,0.363636,1,0,0,0.5,0.142857,0.5,0.4,0.4,0,0,0,0,0.4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.444444,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Poly(o-phenyleneTerephthalamide),0.341463,0.285714,0.378378,0.263158,0.766667,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.4,0,0.363636,1,0,0,0.5,0.214286,0.5,0.2,0.4,0,0,0,0,0.6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.444444,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Poly(o-phenyleneIsophthalamide),0.341463,0.285714,0.378378,0.263158,0.766667,0,0.473684,0.333333,0,0,0.458333,0.285714,0,0.4,0,0.363636,1,0,0,0.5,0.142857,0.75,0.4,0.2,0,0,0,0,0.4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.5,0.444444,0,0.333333,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0
Poly(11-aminoundecanoicAcid),0.219512,0,0.27027,0.578947,0.143137,0,0.526316,0.0555556,0,0,0.458333,0,0,0,0,0.272727,0.5,0,0,0.25,0.642857,0,0.1,0,0,0.5,0,0,0,0,0,0.25,0,0,0.642857,0,0.5,0,0,0.5,0,0,0,0.25,0,0,0,0,0,0.25,0,0.625,0,0.25,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
Poly(etherEtherKetone),0.439024,0.428571,0.513514,0.263158,0.760784,0,0.684211,0.388889,0,0,0.583333,0.428571,0,0.6,0,0.515152,0,1,0,0.25,0.214286,0.75,0.6,0.6,0,0,0,0,0.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0.25,0.666667,0,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1
Poly[di(n-propyl)Itaconate],0.268293,0,0.189189,0.0526316,0.363636,0,0.263158,0.111111,1,1,0.208333,0,1,0,0,0.151515,0,1,0.666667,0.5,0,0,0.1,0,1,0,0,1,0,0,0.5,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.125,0.0833333,0.5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0
Poly(hexamethyleneAdipamide),0.292683,0,0.324324,0.684211,0.25614,0,0.578947,0.111111,0,0,0.541667,0,0,0,0,0.30303,1,0,0,0.5,0.571429,0,0.2,0,0,1,0,0,0,0,0,0.5,0,0,0.571429,0,1,0,0,1,0,0,0,0.5,0,0,0,0,0,0.5,0,0.625,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0
