CID,Train_R2
298,0.9937242622488921
3958,0.9947136978442723
4616,0.995129012532552
6251,0.9946257808671726
3365,0.9946749334066364
3335,0.9947216982707184
568,0.9947767694760528
240,0.9946664920623135
135401907,0.9946775715160744
5373493,0.9946778906938252
6115,0.9947534401740693
7111,0.994701255738967
135398634,0.9949396368891912
597,0.9947121886058927
10008,0.9946929778003819
7368,0.9948344900958619
7519,0.9949893329091991
1302,0.9947557770365315
6713927,0.9946510775463064
7150,0.994715981575594
4485,0.9946273833825219
5288826,0.9956899511480298
3016,0.9956640205319456
69860,0.996035252840991
4926,0.9957982971327551
5568,0.9948691599482657
3696,0.994913567313887
31374,0.994561113626224
11,0.9946630378684649
7964,0.9947826213200868
727,0.9946329730797578
17348,0.9944684343705438
16318,0.9941748544954241
4754,0.9950333488144298
51605,0.9946326822220045
24743,0.9946396691620888
2337,0.9947080385588396
8058,0.9948276690469076
8003,0.9946709771750623
12180,0.9946732376416468
12309,0.9946604026584609
7854,0.9946175377485736
589615,0.9946583327228558
6269,0.9946748069971205
1548887,0.9945981220508219
6587,0.9946339259929522
6278,0.9946763583975402
3776,0.9946092615532605
3672,0.9946596869411208
6986,0.9946744374744088
3718,0.9955820046913773
54678486,0.9946404855555528
7410,0.9946602017709509
5994,0.9946365711387202
16724,0.9952742593793373
241,0.9946920498304561
8078,0.9950492208351913
931,0.9947544210495902
8079,0.9947183672902513
7095,0.995421311717648
2378,0.9946567317625528
31423,0.995465256931173
6853,0.9949267710031149
6375,0.9946177775449503
5950,0.9946186961739171
5754,0.9946746120086871
5757,0.9946134832393515
5865,0.9946671461811889
5753,0.9946677251280709
7961,0.9947112189752783
2441,0.9947006612355151
5353830,0.9946687831138952
7416,0.9948353962399874
448537,0.9946523607991958
65394,0.9946681568889761
2537,0.9946754679612035
6341,0.994504696639528
11334,0.9946941256984786
338,0.9950387243553409
7393,0.9946780271264293
996,0.994746096786
1146,0.9945591311519767
1049,0.994608146973974
8663,0.9946886028622108
8497,0.9948362141733953
243,0.9946890098996761
2879,0.9948698766641093
3394,0.9946751248499912
2995,0.9946632035076335
798,0.9946754472644275
2519,0.994699879015966
527,0.9946024050180409
8083,0.9946591884322328
190,0.9951917043284986
4763,0.9946744353229826
2153,0.9947710482498885
178,0.994541312512449
8434,0.9946782072992759
1775,0.9946538238741474
6386,0.9946003154161098
3715,0.9946366896585235
3676,0.9946949041955153
3120,0.9946732286766349
8028,0.9950279481069708
1983,0.9946955806427766
5284371,0.9956900734416116
2294,0.9946704219594638
1031,0.994600467353958
1110,0.9946361363890475
4463,0.9957431852316885
22311,0.9952640580431529
10871,0.9953278259794722
6569,0.9946060091697531
3283,0.9946332486329912
5743,0.9946646685469794
702,0.9945712050140865
887,0.9945390848558462
5760,0.9956882245402149
6908,0.9946545592079303
5280360,0.9951319589824066
4748,0.9946487302995735
7047,0.9947503570105753
904,0.995040257410013
2331,0.9946612266982218
4914,0.9946942068392612
7812,0.994818422630753
8857,0.9946297900405006
8020,0.9946044150222627
3825,0.9954497314802544
6575,0.9946768027268493
6584,0.994609078922464
3661,0.9946757693950466
6013,0.9946526033943695
1068,0.9946439702160965
3036,0.994471039450991
9294,0.994645136134787
2244,0.9946746634218417
10899,0.9946708770963866
2726,0.9964463473175582
5452,0.9945711056266617
463134,0.9948984155859919
2256,0.9946654970537264
7505,0.9946620792881137
8030,0.994668992104214
1174,0.9946902305605355
8029,0.9948052046702089
1140,0.9946845334410821
5566,0.994902534514476
