CID,Train_R2
3033962,-0.45514669516379497
5280723,-0.7639962630807431
644073,-0.6141641840419956
3333,-0.7455317587814587
446155,-0.6261448617872538
3488,0.6811440783591399
60753,-0.4054630224221262
441401,0.16047493518073147
250948,-0.25122056772073476
36314,0.26336019820687606
54682461,0.6734263159556235
104903,0.1679505344387197
443879,-0.10050063710538382
5584,-0.41851673202730566
2118,0.3224158976437064
1978,-0.43761694130155615
2725,-0.512412867707461
2803,-0.7838108218990207
5625,-0.40403259784862877
163410284,-1.2706305993531295
5757,-1.8912001448340727
73214,-0.06137055237979627
5556,-1.6719124839205355
3696,-1.8522359234612185
3823,-1.6940922083072674
4171,-0.30345430194423295
4201,-0.2749940575039088
4594,-0.3999937041146927
35370,-0.33460655688857366
70835,-0.11008926398537078
93219,-0.5029392643553476
96448,-1.6807777511830535
907652,-2.195535432327592
640537,-1.2363600815267635
589692,-0.12479931477673867
81449,-0.560903726484276
135460266,-0.09751504914971892
23422065,-1.6045278508847274
589653,-0.8231502343000846
43473,0.11084000207319766
23273698,0.5823424741194476
65040,-2.166801001933597
23422096,-0.3944592993332683
23424051,-1.0039803180760551
590544,-0.6605314342041911
23422066,-1.14850631103383
12932800,-0.5201841787985976
20562618,0.19327949496840524
70557,-0.03946791861647814
23424052,-1.002211756228768
23422103,-0.35245266358688476
89976,-0.5035637818239396
590549,-0.6144152151406868
57502361,-0.9598472921597152
65681,-0.6403507083994275
23422050,-1.1212611640854406
589615,-0.6447111918634472
847168,-1.6816347043170368
190,0.10978281605902385
30951,0.6542591703612882
135401907,-2.050484204300366
6009,-1.0930824988044463
2206,-0.9336669864036752
2337,-0.41765149182417194
9782,-0.9690955706649699
16533,0.2704120672114011
2378,-0.6659523827920275
2441,-0.290200741998308
2479,-1.5379578408323413
14362,-0.42207723921104734
6473,-2.387664413948456
2519,-1.1863961564297254
456255,-0.013485739842257483
2712,-0.19558638761184666
446220,-0.9313380744031443
5284371,-0.7571310642664884
5753,-3.163385078596302
222786,-2.715466518137661
5745,-1.211002945649556
5838,-0.9371677041396693
597,-1.4361621124407256
28417,-0.3455707625580987
6166,-0.9025315739628127
5952,0.13697202026810595
5743,-0.258635369427641
236702,-1.4460671292054275
3016,-0.06482607650520089
448537,-0.07853460832421627
223368,-0.9375573646065397
9547222,-0.38709249908052185
3114,-0.6153686502581799
9294,0.09399224512491794
444865,0.3061905133696389
223368,-1.0755359856083149
5757,-1.9828969904411238
5756,-1.4566713176551243
5870,-1.406482042760794
14052,-0.7169157578510653
8434,-0.5829209851371866
3335,-0.18353825427982223
65394,-0.7070308132993839
3365,-0.27537775773645123
5568,-1.022448706498748
135398634,0.6281052578545546
10518,-1.0931168611019677
8942,-1.8105375130035573
5744,-0.18130318864911243
135398638,-0.09098204845199942
3718,-1.2186582679961075
76900,0.6544910937024733
3676,-4.537549237211289
3958,-1.1427148998061016
6251,-0.7443723192490735
6010,-0.3903653320770052
5288826,-1.9861242389226812
4463,-1.279823202863201
967,-1.0244438757547958
4616,-0.29046440320318295
1983,-0.4428122897451953
441278,-0.2210386738914939
4748,-0.734499764151074
4754,0.14571489310958824
4763,-0.9733965998455683
4764,0.04416544007066148
1775,-0.14289835047029498
5881,0.31948593383274876
14709,-0.9639232763719082
5834,-0.6809962322286942
5755,0.22062613209445636
5865,-1.988360008341997
4914,-4.364276463481455
4917,-1.0520545408367052
5994,-0.5719927029711234
4926,-0.27061252553939114
6145931,0.34025250651724204
1043,-0.5130776349469345
14712407,-1.6532526439256068
23422242,-1.124764245799563
12932793,0.4380884664020922
441074,-0.2830993429574742
19254,-0.2026419798637673
338,-0.8771617199415703
5193,-0.6881716743512577
10635,-1.730795627705362
11809740,-2.155476283378998
1548887,-0.36833310512664064
8275,-0.9099144564218237
92145,-0.9843350174956187
5429,0.03808191559035573
6762,-0.2923453451932839
5452,-0.2961916546319601
1135,-0.8289433632104373
31307,0.004157501980494138
6436,-0.4249603065174613
6436,-0.4307462608132848
5556,-1.7258635027000133
5566,-1.3153484643872708
5568,-0.9683229473852951
37264,-0.605836968593179
1174,-0.8425208364242891
1175,0.3954695690256272
5284636,0.6810106974099379
1188,-0.9960210674906266
