CID,Train_R2
93541,0.9985908160169773
40896,0.998629477703548
36584,0.9986298496695634
42586,0.9985998785230158
65651,0.9985757585741795
91695,0.998631603967264
13450,0.9986325803020926
54886,0.9986320440097846
31573,0.9986335077049424
91644,0.9986340797788362
41384,0.9986133559683075
86211,0.9986326968088313
43234,0.998632916848013
135424354,0.9986272398123583
4929,0.9986343644100754
66461,0.9986343539575702
4169,0.9986253373901027
86210,0.998634271857785
13263,0.9986288510530916
86102,0.9986343823543898
15951,0.9986345826123286
91693,0.9986290378477489
93379,0.9986341833193966
9576091,0.9986280559339719
94686,0.9986034081648725
13904,0.9986225593009725
91751,0.9986318096065592
167454,0.9986299493061006
51369,0.9986342456579411
93539,0.9986176003681736
11442,0.998631332962095
43233,0.9986284446284486
2078,0.9986289812222895
1988,0.9986289197540215
86355,0.9986230782764479
39985,0.9986223867002744
9839306,0.9986333320182406
71245,0.9985228173208676
50897,0.9986244704688673
50897,0.9986250851220422
61899,0.9986324834732858
91742,0.9986344348321974
43226,0.9986340335686986
73665,0.9986340853088944
5053,0.9993786160657003
135616186,0.9986342228931103
91750,0.9986339063734015
14337,0.9986323477718029
2319,0.9986034793036069
12968,0.9986244788279705
4944,0.9986125662090558
16181,0.9986315917611865
14215,0.9986323877758038
62020,0.9986343834352216
27189,0.9986330690450552
91740,0.9986324801355716
135741327,0.998632601562953
36242,0.9986318652434888
5053,0.9993691892338261
73668,0.9986320495304994
34192,0.99863434297936
54740,0.998618240356083
36867,0.9986345606332161
94498,0.998613004494606
36679,0.998632378488826
38283,0.9985690622205239
25912,0.9986338968215379
5368008,0.9985654546583136
24743,0.998633103918902
2566,0.9986264755868386
17517,0.9986268061196681
91612,0.9986343147448424
2912,0.9987171825165608
22883,0.9986124516478712
802,0.9986131740257539
14322,0.998606847101938
3347,0.9990451492714323
3347,0.999024226744476
3120,0.9986337415814908
21307,0.998628776527078
2912,0.9987086112259927
39238,0.9986259496410215
97982,0.9986338227805192
41632,0.9986341906115326
9502,0.9986330626889401
33360,0.9986339752578459
3034378,0.9986281957886789
104926,0.998537172038073
7542,0.998615466453261
8427,0.9986231982749965
37829,0.9986023763382073
7153,0.9986229872313768
7153,0.9986216996181748
2728,0.9986318562319422
7204,0.99862005159487
3030,0.9986001551387205
33775,0.9986345283376324
15629,0.9986200353913564
