CID,Train_R2
93541,0.7022700734094867
40896,0.7062416217542068
36584,0.706485857146669
42586,0.705010893173278
65651,0.7080627989086289
91695,0.706623363043164
13450,0.7068576557878103
54886,0.710119574249199
31573,0.7580789721249943
91644,0.7075780610316705
41384,0.7082627508018386
86211,0.7097384619133723
43234,0.706680388869194
135424354,0.634601637561066
4929,0.7104963349691684
66461,0.7108784230130765
4169,0.7057450592940571
86210,0.7083681757558133
13263,0.7149280701015506
86102,0.7066762175286745
15951,0.7119544342370232
91693,0.7072380474577471
93379,0.7078962726005613
9576091,0.7065731832682941
94686,0.7055311584391191
13904,0.7058522882005005
91751,0.7114411016395307
167454,0.706387605098689
51369,0.7067490351722797
93539,0.7070234154490818
11442,0.7089441178342273
43233,0.7062347433147591
2078,0.706314363322075
1988,0.7062605137688263
86355,0.7054826308698989
39985,0.7060790279381783
9839306,0.7094836278273717
71245,0.7055320270265778
50897,0.7063840007020792
50897,0.7063246286759124
61899,0.7185353142595939
91742,0.7067835009478847
43226,0.7077424285219165
73665,0.7114346927524975
5053,0.7432612038329814
5053,0.7960261412584929
135616186,0.7065493200590178
91750,0.7066660904049826
14337,0.7190725050727943
2319,0.7056293404271411
12968,0.719968020853063
4944,0.7091647363050543
16181,0.706451812671198
14215,0.7188466844578716
62020,0.7079386673255448
27189,0.7072764791516889
91740,0.7052256860775279
135741327,0.706354887509663
36242,0.7041054754984073
73668,0.7067916674154799
34192,0.7071173425886766
54740,0.7073829526507465
36867,0.7067333321065981
94498,0.7061790358329965
36679,0.7092194973257266
38283,0.7034489684729229
25912,0.7087797512193081
5368008,0.7006786080884283
24743,0.7088367165103767
2566,0.705806401672809
17517,0.7086347512367761
91612,0.7167981299795001
2912,0.7136599485315543
2912,0.7408980453228604
22883,0.7088967600916216
802,0.7112577716576288
14322,0.7276502534468909
3347,0.7133708681646769
3347,0.7254342262754745
3120,0.7076172826527967
21307,0.7086643870217559
39238,0.7067906645879843
97982,0.7068155063170831
41632,0.7069428390522168
9502,0.7074300619357554
33360,0.7065581315304867
3034378,0.7060536761731324
104926,0.7044459565794777
7542,0.7048695361565521
8427,0.7055208343888251
37829,0.7034181049256475
7153,0.7052701622126057
7153,0.705163718624527
2728,0.7064630365367349
7204,0.7078360168153579
3030,0.7056134471633793
33775,0.707039392278261
15629,0.7054469877748445
