CID,n,rank,n_in,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_Br1,na_ex_C4,na_ex_Cl1,na_ex_F1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_2_3,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_2_2,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_S2_2_1,C4_2_S6_4_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_4_C4_4_1,C4_4_N3_2_1,N3_2_N3_2_1,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_/_/_0,FC_4_C4_0_O2_1_/_2_/_0_0,FC_5_N3_0_/_/_0,FC_6_N3_0_H1_1_/_1_/_0_0,FC_7_O2_0_/_/_0,FC_8_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_9_S2_0_/_/_0,FC_10_C4_0_H1_1_O2_1_H1_2_/_1_1_1_/_0_0_0_0,FC_11_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_Cl1_1_/_1_/_0_0,FC_13_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_14_C4_0_F1_1_/_1_/_0_0,FC_15_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0,FC_16_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_18_C4_0_O2_1_H1_2_/_1_1_/_0_0_0,FC_19_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_20_C4_0_Br1_1_/_1_/_0_0,FC_21_N3_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_22_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_23_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_24_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_25_C4_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,LeafAC_Br1_C4_1,LeafAC_C4_C4_1,LeafAC_C4_N3_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_F1_C4_1,LeafAC_N3_C4_1,LeafAC_O2_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2
137628619,0.545455,0.666667,0.625,0.262001,0,0.608696,0.666667,0.5,0,0.5,1,0,1,0,0.764706,0.5,0.333333,0.5,0,0,0.5,0,0.333333,1,0,0.272727,0.666667,0,0.444444,0.75,1,0,0.5,0.75,0.166667,0.5,0,0.25,0.333333,0.333333,0,0.666667,0.2,1,0.333333,0,0,1,0.466667,0.636364,0.5,0,0.833333,0,0.333333,0.25,0.5,0.5,0.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,1,1,0,0
92044400,0.484848,0.666667,0.666667,0.708174,0,0.608696,1,0,0,0.538462,1,0,1,0,0.705882,0.5,0.666667,0.5,0,0,0.3,0.5,0,0,0,0.363636,0.666667,0,0.222222,0.5,0,0,0,0,0.583333,0,0,0.75,0.666667,0,0.5,1,0.8,0.5,0.666667,0,0,1,0.4,0.545455,0.666667,0.4,0.666667,0.333333,0.666667,0.75,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0.5,0,0,0,0.4,0
162661974,0.787879,0.333333,0.75,0.516137,0,0.73913,0.833333,0,0,0.692308,0.5,0,1,0,0.823529,0.5,0.666667,0.5,0,0,0.7,0,1,0,0.4,0.181818,0.666667,0,0.666667,0.5,0,0.666667,0.5,0.125,0.5,0.5,0,0.5,0.666667,0,1,0.666667,0,1,0.333333,0,0,0,0.466667,0.545455,0.666667,0.4,0.5,0.666667,0.666667,0.25,0.5,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0.5,0.4,0
137628657,0.515152,0.333333,0.541667,0.858741,0,0.565217,0.666667,0,0,0.5,0.5,0,0.714286,0,0.647059,0.25,0.666667,0,0,0,0.2,0,1,0,0.6,0.363636,0.666667,0,0.333333,0.25,0,0.333333,0,0,0.5,0,0,0.75,0.666667,0,1,0.666667,0.2,1,0,0,0,0,0.466667,0.363636,0.666667,0.8,0.333333,0.666667,0.666667,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0.8,0
162644604,0.787879,0.333333,0.75,0.516137,0,0.73913,0.833333,0,0,0.692308,0.5,0,1,0,0.823529,0.5,0.666667,0.5,0,0,0.7,0,1,0,0.4,0.181818,0.666667,0,0.666667,0.5,0,0.666667,0.5,0.125,0.5,0.5,0,0.5,0.666667,0,1,0.666667,0,1,0.333333,0,0,0,0.466667,0.545455,0.666667,0.4,0.5,0.666667,0.666667,0.25,0.5,0.5,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,1,0,0.5,0.4,0
137628637,0.424242,0.333333,0.416667,0.782208,0,0.347826,0.833333,0.5,0,0.384615,0.5,0,0.428571,0,0.529412,0,0.333333,0.5,1,0,0.2,0,0,1,1,0.272727,0.333333,0,0.444444,0.25,0,0.333333,0,0.125,0.166667,0,1,0.75,0.666667,0,0.25,0.333333,0.4,1,0.666667,0,0,0,0.466667,0.272727,0.5,0.8,0.166667,0.333333,0.333333,0,0.5,0,0,0,0.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0.5,0,0,1,0,0.8,1
137628658,0.575758,0.666667,0.75,0.302376,0,0.73913,0.833333,0,0,0.615385,1,0,0.428571,0,0.764706,1,0.666667,0,0,0,0.3,0,0,0,0.4,0.636364,0.333333,0,0.111111,0,0,0.666667,0,0.625,0.583333,0,0,0.5,0.333333,0,0.5,1,1,0.5,0,0,0,0,0.933333,0.181818,0.333333,0.6,1,0.333333,0.666667,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.25,0,0,0,0,0,0,0.8,0
137628618,0.545455,0.666667,0.625,0.262001,0,0.608696,0.666667,0.5,0,0.5,1,0,1,0,0.764706,0.5,0.333333,0.5,0,0,0.5,0,0.333333,1,0,0.272727,0.666667,0,0.444444,0.75,1,0,0.5,0.75,0.166667,0.5,0,0.25,0.333333,0.333333,0,0.666667,0.2,1,0.333333,0,0,1,0.466667,0.636364,0.5,0,0.833333,0,0.333333,0.25,0.5,0.5,0.5,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0,0.333333,1,1,0,0
124201820,0.606061,0.333333,0.625,0.42896,0,0.565217,1,0,0,0.576923,0.5,0,0.857143,0,0.588235,0.75,0.5,1,0,0,0.8,0.5,0,0,0,0.0909091,0.333333,0,0.444444,0.25,0,0.333333,0.5,0.125,0.5,0.5,0,0.5,0.666667,0,0.5,1,0.6,0,1,0,0,1,0.4,0.363636,0.333333,0.2,0.833333,0.333333,0.5,1,1,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.875,0,0,0.5,0,0,0.5,0.2,0
134160242,1,0,1,0.0866086,0,1,0.833333,0,0,1,0,0,0.428571,0,1,0.5,1,1,0,0,1,0,0,0,0.6,0.272727,0.333333,0,0.777778,0.25,0,0.333333,1,0.25,1,1,0,0.25,0.333333,0,1,0,0.4,0,0.666667,0,0,0,0.866667,0.454545,0,0.6,0.5,0.666667,1,0.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.6,0
