CID,na_in_N3*(1-FC_21_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0),ms*(1-C4_2_N3_2_2),LeafAC_O2_C4_2*(1-FC_25_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0),C4_3_N3_3_1*(1-LeafAC_C4_O2_1),FC_36_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0),LeafAC_O2_N3_2*(1-FC_26_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0),ms*(1-C4_3_N3_3_1),C4_2_N3_2_1*(1-C4_2_N3_2_2),dg_in_1*(1-FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0),FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0*(1-C4_2_C4_4_1),C4_3_C4_3_2*(1-C4_2_N3_2_2),FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0),na_ex_C4*(1-N3_2_O2_2_1),na_ex_C4*(1-FC_16_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0),FC_35_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0*(1-FC_48_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_/_1_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_-1_0),FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0*(1-FC_30_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0),FC_9_C4_0_O2_1_/_2_/_0_0*(1-FC_40_S6_0_O2_1_O2_1_/_2_2_/_0_0_0),C4_2_O2_2_1*(1-FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0),LeafAC_O2_C4_1*(1-C4_2_C4_4_1),FC_54_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0*(1-FC_60_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0),FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-FC_20_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0),FC_51_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-FC_26_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0),LeafAC_O2_C4_2*(1-C4_2_N3_2_2),FC_39_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-LeafAC_N3_C4_1),FC_21_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0*(1-FC_36_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0),FC_58_C4_0_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0*(1-C4_2_N3_3_1)
5032,0.0,0.146003,0.0,0.0,0.0,0.0,0.146003,0.0,0.333333,0.0,0.0,0.0,0.2222219999999999,0.2222219999999999,1.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5143,0.25,0.584742,0.333333,0.0,0.0,0.0,0.584742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
5251,0.0,0.229807,0.333333,0.0,0.0,0.0,0.229807,0.0,0.666667,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
5304,0.5,0.239837,0.333333,0.8,0.0,0.0,0.0479673999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,1.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
5503,0.75,0.267968,0.333333,0.0,0.0,0.0,0.267968,0.0,0.0,0.0,0.0,0.0,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
5798,0.5,0.0,0.0,0.0,0.0,0.0,0.3115159999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5953,0.5,0.2062369999999999,0.0,0.15,0.0,0.0,0.1649895999999999,0.5,0.0,0.0,0.5,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5979,0.5,0.239837,0.333333,0.8,0.0,0.0,0.0479673999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,1.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
6082,0.0,0.1915059999999999,0.0,0.0,0.0,0.0,0.1915059999999999,0.0,0.333333,0.0,0.5,0.0,0.4444439999999999,0.4444439999999999,0.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6115,0.0,0.1961359999999999,0.0,0.0,0.0,0.0,0.1961359999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444439999999999,0.4444439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6387,0.0,0.135527,0.0,0.0,0.0,0.0,0.135527,0.0,0.0,0.0,0.0,0.0,0.4444439999999999,0.4444439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6417,0.0,0.135527,0.333333,0.0,0.0,0.0,0.135527,0.0,0.0,0.0,0.0,0.0,0.555556,0.555556,0.0,0.0,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.333333,0.0,0.0,0.0
6558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4444439999999999,0.4444439999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6619,0.0,0.614354,0.0,0.0,0.0,0.0,0.614354,0.0,0.0,0.666667,1.0,0.0,0.2222219999999999,0.2222219999999999,0.0,0.666667,0.0,0.0,0.2857139999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6893,0.0,0.140241,0.0,0.0,0.0,0.0,0.140241,0.0,0.0,0.0,0.5,0.5,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6896,0.0,0.140241,0.0,0.0,0.0,0.0,0.140241,0.0,0.0,0.0,0.5,0.5,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
