CID,na_in_N3*(1-FC_21_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0),ms*(1-C4_2_N3_2_2),LeafAC_O2_C4_2*(1-FC_25_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0),C4_3_N3_3_1*(1-LeafAC_C4_O2_1),FC_36_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0),LeafAC_O2_N3_2*(1-FC_26_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0),ms*(1-C4_3_N3_3_1),C4_2_N3_2_1*(1-C4_2_N3_2_2),dg_in_1*(1-FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0),FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0*(1-C4_2_C4_4_1),C4_3_C4_3_2*(1-C4_2_N3_2_2),FC_12_C4_0_N3_1_H1_2_H1_2_/_1_1_1_/_0_0_0_0*(1-FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0),na_ex_C4*(1-N3_2_O2_2_1),na_ex_C4*(1-FC_16_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0),FC_35_C4_0_H1_1_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0*(1-FC_48_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_O2_2_/_1_1_1_1_1_1_1_1_1_1_1_2_/_0_0_0_0_0_0_0_0_0_0_0_-1_0),FC_4_C4_0_O2_1_H1_2_/_1_1_/_0_0_0*(1-FC_30_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0),FC_9_C4_0_O2_1_/_2_/_0_0*(1-FC_40_S6_0_O2_1_O2_1_/_2_2_/_0_0_0),C4_2_O2_2_1*(1-FC_15_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0),LeafAC_O2_C4_1*(1-C4_2_C4_4_1),FC_54_C4_0_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0*(1-FC_60_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0),FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0*(1-FC_20_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0),FC_51_N3_0_H1_1_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-FC_26_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0),LeafAC_O2_C4_2*(1-C4_2_N3_2_2),FC_39_C4_0_H1_1_O2_1_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0*(1-LeafAC_N3_C4_1),FC_21_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0*(1-FC_36_C4_0_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0),FC_58_C4_0_N3_1_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0*(1-C4_2_N3_3_1)
6899,0.0,0.750521,0.0,0.0,0.0,0.0,0.750521,0.0,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6914,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.333333,0.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6947,0.0,0.443508,0.0,0.0,0.0,0.333333,0.443508,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7005,0.0,0.28439,0.0,0.0,0.0,0.0,0.28439,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7013,0.25,0.2580909999999999,0.0,0.0,0.0,0.0,0.2580909999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7240,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7242,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.5,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7249,0.0,0.175224,0.0,0.0,0.0,0.0,0.175224,0.0,0.0,0.333333,0.5,0.0,0.2222219999999999,0.2222219999999999,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7250,0.0,0.140241,0.0,0.0,0.0,0.0,0.140241,0.0,0.0,0.0,0.5,0.5,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7251,0.0,0.354034,0.0,0.0,0.0,0.0,0.354034,0.0,0.0,0.0,0.5,0.5,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7259,0.0,0.140241,0.0,0.0,0.0,0.0,0.140241,0.0,0.0,0.0,0.5,0.5,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7267,0.0,0.175224,0.0,0.0,0.0,0.0,0.175224,0.0,0.0,0.333333,0.5,0.0,0.2222219999999999,0.2222219999999999,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7423,0.0,0.3830119999999999,0.0,0.0,0.0,0.333333,0.3830119999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7472,0.0,0.152669,0.0,0.0,0.5,0.0,0.152669,0.0,0.0,0.0,0.0,0.5,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7515,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.0,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7618,0.25,0.1317559999999999,0.0,0.0,0.0,0.0,0.1317559999999999,0.0,1.0,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7670,0.25,0.140241,0.0,0.0,0.0,0.0,0.140241,0.0,0.333333,0.0,0.0,0.0,0.2222219999999999,0.2222219999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7732,0.0,0.214094,0.0,0.0,0.0,0.0,0.214094,0.0,0.0,0.0,0.0,0.5,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7771,0.0,0.175224,0.0,0.0,0.0,0.0,0.175224,0.0,0.0,0.333333,0.5,0.0,0.2222219999999999,0.2222219999999999,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7811,0.0,0.300517,0.0,0.0,0.0,0.0,0.300517,0.0,0.0,0.0,0.0,0.0,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7812,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7813,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.5,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7896,0.0,0.100172,0.0,0.0,0.0,0.0,0.100172,0.0,0.0,0.0,0.0,0.0,0.333333,0.333333,0.0,0.0,0.0,0.0,0.2857139999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7912,0.25,0.0026784,0.0,0.0,0.0,0.0,0.0026784,0.0,0.0,0.0,0.0,0.0,0.666667,0.666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7930,0.0,0.300517,0.0,0.0,0.0,0.0,0.300517,0.0,0.0,0.0,0.0,0.0,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7932,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.4277939999999999,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7933,0.0,0.501043,0.0,0.0,0.0,0.0,0.501043,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7934,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.1632559999999999,0.0,0.0,0.0,0.0,0.5,0.1111109999999999,0.1111109999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7935,0.0,0.2062369999999999,0.0,0.0,0.0,0.0,0.2062369999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7948,0.0,0.175224,0.0,0.0,0.0,0.0,0.175224,0.0,0.0,0.333333,0.0,0.0,0.2222219999999999,0.2222219999999999,0.0,0.333333,0.0,0.0,0.1428569999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
