Selected Descriptors
14
20
3
24
82
70
32
30
10
64
40
103
97
87
77
52
6
61
21
84
33
101
114
102
90
105
111
0
29
18
51
66
59
42
138
96
19
26
54
115
109
136
130
119
131
4
13
137
123
112
108
91
118
79
46
106
89
125
117
74
