CID,Train_R2
904,0.13577102398488605
60961,0.13234583784705378
135401907,0.0979553760928269
5578,0.1373756239394045
1986,0.13499799170368987
243,0.13385104221004973
2083,0.13607891154066576
441074,0.1354976239825849
2331,0.13658828338069018
27200,0.13396702116744375
2249,0.1350546471317634
2756,0.13784098281448737
3120,0.13537563466904456
667467,0.13460032704153385
446220,0.14543926789418965
156391,0.13494519762934826
68617,0.1344353020778291
597,0.13902485472975462
2950,0.13766445872626248
222786,0.12932197304795795
3016,0.13494145189862555
1548887,0.13411063850684413
3647,0.13432962985522584
3394,0.13629461079857236
3325,0.13653063271399124
3371,0.13501764988882242
223368,0.13130799057391174
3639,0.13454269546511233
1983,0.13508752861276863
3672,0.1323585437080373
4946,0.13521460267008167
6989,0.13457698453442118
4740,0.13475082121052895
36679,0.1374881280492462
135398634,0.16328345522351329
5353830,0.16766223659793517
6047,0.1351582196913908
3718,0.13284788381865775
4168,0.13724503320601067
4173,0.13545994683725476
4680,0.1307830674961925
4421,0.1365136741894747
7005,0.13547786856864552
4488,0.13491302102163927
54675779,0.13532780760152607
9142,0.1388116846355491
4763,0.1527263721889771
1017,0.13411669359544415
1775,0.1369539769733112
4828,0.13598653944467293
5994,0.13470836812031922
4754,0.13484511058563192
31423,0.13618335918935287
1046,0.1398459056306437
338,0.1336610404562471
3478,0.13989466017624314
3033,0.13789255112426424
5329,0.13356136289457338
5327,0.13724871183056625
5320,0.1390410722103974
5215,0.14125109957683535
39147,0.1416259171646379
7950,0.1408849350139465
5426,0.13790760435529048
1135,0.1358133345360681
5324289,0.1343368090002302
1174,0.13490477848650678
1175,0.1323717222334606
174174,0.13548257695641847
9502,0.13413398020457779
4044,0.13582846315055713
5505,0.1318160901626994
5284371,0.13613479155978253
441071,0.1391685316136403
978,0.13595122122525233
4649,0.1337549255100136
2206,0.13546048213202122
5959,0.1313801470234413
5753,0.13950633685214703
2955,0.13859820396100808
4909,0.13503449975717768
5870,0.13715319083426797
30951,0.13603957627860686
3385,0.13507522698368152
441140,0.13514324425599927
16562,0.1349123709283624
3365,0.1361776611290863
3828,0.13366354370546552
135398737,0.160528557575914
6230,0.15013776921387212
938,0.13928425507924647
4748,0.13874735413933814
1043,0.13630696036314727
5147,0.1380295641238607
5333,0.1358084740422263
3475,0.14253594901923022
5572,0.1336508854642931
9170,0.1354246516894223
55245,0.1250146514220501
