CID,n_in,LeafAC_O2_C4_1,C4_2_C4_4_1,LeafAC_O2_C4_2,C4_2_O2_2_1,FC_15_C4_0_C4_1_F1_2_F1_2_F1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,FC_24_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_O2_2_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_11_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_45_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,dg_in_1
46220502,0.410714,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
71226662,0.428571,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.333333
75163532,0.232143,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.333333
2159,0.160714,0.0,0.0,0.25,0.0,0.0,0,0,0,0.5,0,0.333333
24872560,0.267857,0.0,0.666667,0.5,0.0,0.5,0,0,0,0.0,0,0.333333
5464098,0.25,0.111111,0.333333,0.5,0.0,0.0,0,0,0,0.0,0,0.333333
118023034,0.482143,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
124081896,0.482143,0.0,0.0,0.75,0.5,0.0,0,0,0,0.0,0,0.333333
31593,0.160714,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
9837243,0.0178571,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,1,0.666667
25145656,0.375,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
25267009,0.0892857,0.333333,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
11962412,0.142857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
135565596,0.446429,0.0,0.0,0.25,0.375,0.0,0,0,0,0.5,0,0.0
44591583,0.178571,0.0,0.0,0.0,0.125,0.0,0,0,0,0.0,0,0.0
57519532,0.392857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.5,0,0.0
67171867,0.25,0.111111,0.0,0.25,0.0,0.0,1,0,0,0.0,0,0.0
16886,0.0892857,0.222222,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
54726191,0.303571,0.111111,0.0,0.75,0.125,0.0,0,0,0,0.0,0,0.0
58460047,0.232143,0.0,0.0,0.5,0.0,0.5,1,0,0,0.0,0,0.0
4021,0.0892857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
68069336,0.803571,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0,0.666667
89683805,0.267857,0.111111,0.0,0.0,0.0,1.0,0,0,1,0.0,0,0.333333
25141092,0.553571,0.0,0.0,0.25,0.25,0.0,1,0,0,0.0,0,0.0
67462786,0.339286,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.333333
16722836,0.428571,0.0,0.0,0.0,0.125,0.0,0,0,0,0.0,0,0.333333
71544786,0.410714,0.0,0.0,0.25,0.125,1.0,0,1,0,0.0,0,0.333333
49803313,0.464286,0.0,0.0,0.25,0.25,0.0,0,0,0,0.5,0,0.0
25166913,0.321429,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
44603531,0.607143,0.0,0.333333,1.0,0.0,0.0,0,0,0,0.5,0,0.0
5311037,0.196429,0.0,0.0,0.5,0.0,0.0,0,0,0,1.0,0,0.0
91476,0.0892857,1.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.666667
11965427,0.428571,0.111111,0.0,0.75,0.125,0.0,0,0,0,0.0,0,0.0
148195,0.410714,0.0,0.0,0.5,0.0,0.0,0,0,0,0.0,0,0.0
9804938,0.375,0.0,0.0,0.75,0.0,0.0,0,0,0,0.0,0,0.666667
441130,0.142857,0.222222,0.0,0.75,0.0,0.0,0,0,0,0.0,0,0.333333
6436009,0.482143,0.222222,0.666667,0.25,0.125,0.0,0,0,0,0.0,0,0.666667
54732242,0.535714,0.333333,0.666667,0.25,0.0,0.0,0,1,0,0.0,0,0.0
9915743,0.446429,0.0,0.0,0.25,0.125,0.0,0,0,0,0.0,0,0.666667
6178305,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0
24958198,0.267857,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.0
447715,0.25,0.333333,0.666667,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
25110515,0.303571,0.111111,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.666667
86705695,0.357143,0.0,0.0,0.25,0.25,0.0,0,0,0,1.0,0,0.0
25151352,0.321429,0.0,0.0,0.0,0.0,0.5,0,0,0,0.0,0,0.0
9948102,0.232143,0.0,0.0,0.0,0.25,0.0,0,0,0,0.0,0,0.0
129073603,0.464286,0.0,0.666667,0.25,0.0,0.0,1,0,0,0.5,0,0.0
456199,0.214286,0.0,0.0,0.0,0.25,0.0,0,0,0,0.0,0,0.333333
10348973,0.464286,0.0,0.0,0.75,0.0,0.0,1,0,0,0.5,0,0.666667
56832851,0.428571,0.222222,0.0,0.25,0.25,0.0,0,0,0,0.0,0,0.333333
57504764,0.303571,0.0,0.0,0.25,0.0,0.0,0,0,0,0.0,0,0.333333
