CID,Train_R2
3033962,0.3616682374694393
5280723,0.36506606590238544
644073,0.36223105830783425
3333,0.3599252378242821
446155,0.3627914869667612
3488,0.3621578629719087
60753,0.3650517525735026
441401,0.3641947772728779
250948,0.3599213981837988
36314,0.3602981333831432
54682461,0.36573482953386194
104903,0.3558826185929541
443879,0.3630491542975927
5584,0.3633313106504478
2118,0.36489783163560396
1978,0.36281023732782713
2725,0.36169160690096624
2803,0.3668088611886195
5625,0.3659539475931523
163410284,0.35909653508760325
5757,0.3672922603981275
5757,0.3922070070229787
73214,0.3718129832935767
5556,0.36373277004583837
5556,0.3639366890242816
3696,0.3634720555624974
3823,0.36198797665008553
4171,0.3627907267450857
4201,0.3619524633723038
4594,0.36267891344395997
35370,0.3630147530189977
70835,0.36205208265709204
93219,0.3641618916730655
96448,0.3618942454341655
907652,0.36505354283631375
640537,0.36472495757415574
589692,0.36408642002336666
81449,0.363595146187441
135460266,0.3629752276680487
23422065,0.37068452258301016
589653,0.3614851644826589
43473,0.37392504552449096
23273698,0.36333832934959404
65040,0.3613775723706337
23422096,0.3641214108289453
23424051,0.36310719834465016
590544,0.36277049077272583
23422066,0.3654063283590271
12932800,0.36078697002520205
20562618,0.3642035457167768
70557,0.3639818519564242
23424052,0.3631907076483703
23422103,0.36306957544093094
89976,0.3614111714379824
590549,0.3637100669600648
57502361,0.37168039168994266
65681,0.3611553835913457
23422050,0.3627476801782269
589615,0.3615378065059038
847168,0.3619023511609637
190,0.36242756403025395
30951,0.36325301965162876
135401907,0.3666784562243305
6009,0.40873021694504735
2206,0.3391069181069093
2337,0.3689929678786215
9782,0.37236146396830416
16533,0.36338391488581867
2378,0.3637981470239264
2441,0.3616932557442827
2479,0.36072948115153286
14362,0.36298837197368666
6473,0.36590945932155766
2519,0.3665264926630682
456255,0.3672456695781393
2712,0.3609867305889435
446220,0.36203985698493246
5284371,0.3628772441927742
5753,0.3648000445302386
222786,0.3670439276494068
5745,0.3656737489287854
5838,0.3642031949976573
597,0.3730907572645515
28417,0.3627477824555573
6166,0.36615273731349246
5952,0.36242626043818316
5743,0.3636453931944885
236702,0.36252865881104746
3016,0.36357929999440153
448537,0.36771112878861095
223368,0.36331375718226355
223368,0.36327038311191895
9547222,0.36418140081298706
3114,0.3623346921966845
9294,0.3623931001104161
444865,0.37732314209190954
5756,0.3645172603252629
5870,0.36501250361900756
14052,0.3614523118808955
8434,0.363948704639707
3335,0.36319594127867627
65394,0.3698346873357589
3365,0.3706721245743334
5568,0.3615406491780008
5568,0.3669927017288802
135398634,0.3633663119850826
10518,0.36427975047221123
8942,0.373247651771018
5744,0.36618052569402054
135398638,0.36416623365810125
3718,0.36223558536662653
76900,0.3705780570646088
3676,0.36169849087233086
3958,0.3633594266417669
6251,0.3652689205072544
6010,0.3641939758715664
5288826,0.3675685821154978
4463,0.364618614707521
967,0.36342351004604656
4616,0.3638967267127119
1983,0.3638373121183302
441278,0.3626645492643383
4748,0.36098670020532675
4754,0.36360120354184416
4763,0.36303871958758327
4764,0.3671463872148229
1775,0.3628929852180046
5881,0.3638910318911376
14709,0.36386930723077
5834,0.3629600187288203
5755,0.3634818180434308
5865,0.3629737810738116
4914,0.36327864509486535
4917,0.36360589316266984
5994,0.3624131426255246
4926,0.36233860926968603
6145931,0.3621709771648834
1043,0.3701959467260851
14712407,0.36435050423640236
23422242,0.36455940578297885
12932793,0.3660050002700272
441074,0.3621918726222768
19254,0.36389603294233885
338,0.3635105840374134
5193,0.3640810834584476
10635,0.3662614248942937
11809740,0.3637443403760168
1548887,0.36317494429221414
8275,0.3623966757922671
92145,0.3662410412762261
5429,0.3627344651796942
6762,0.3612189839994876
5452,0.36300029007844054
1135,0.36640705624939635
31307,0.36753990488997296
6436,0.36261324405436873
6436,0.36723786114379464
5566,0.3626244196837399
37264,0.36248479445435644
1174,0.36493827428846454
1175,0.36480436273335254
5284636,0.3679992116315301
1188,0.36453147321770935
