FID,(atom depth)-seq,Multiplicity seq, Charge seq
1, C4 0 H1 1, 1, 0 0
2, C4 0,, 0
3, N3 0,, 0
4, C4 0 H1 1 H1 1, 1 1, 0 0 0
5, C4 0 N3 1 H1 2 H1 2, 1 1 1, 0 0 0 0
6, N3 0 H1 1, 1, 0 0
7, C4 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
8, C4 0 Cl1 1, 1, 0 0
9, C4 0 F1 1, 1, 0 0
10, S2 0,, 0
11, O2 0,, 0
12, C4 0 O2 1, 2, 0 0
13, N3 0 C4 1 H1 2 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
14, C4 0 S2 1, 2, 0 0
15, C4 0 N3 1 O2 2 O2 2, 1 1 2, 0 1 -1 0
16, C4 0 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1, 0 0 0 0 0 0
17, C4 0 C4 1 H1 2 O2 2, 1 1 2, 0 0 0 0
18, C4 0 C4 1 N3 2, 1 3, 0 0 0
19, C4 0 C4 1 F1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
20, C4 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
21, O2 0 C4 1 H1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
22, O2 0 C4 1 F1 2 F1 2 F1 2, 1 1 1 1, 0 0 0 0 0
23, C4 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
24, C4 0 H1 1 H1 1 C4 1 N3 2, 1 1 1 3, 0 0 0 0 0
25, C4 0 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 0 0 0 0 0 0 0
26, C4 0 C4 1 Cl1 2 O2 2, 1 1 2, 0 0 0 0
27, N3 0 C4 1 S2 2, 2 2, 0 0 0
28, N3 0 H1 1 C4 1 S2 2 C4 2 H1 3 H1 3 H1 3, 1 1 2 1 1 1 1, 0 0 0 0 0 0 0 0
29, C4 0 H1 1 H1 1 O2 1 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
30, C4 0 C4 1 H1 2 H1 2 H1 2 C4 1 H1 2 H1 2 H1 2, 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0
31, O2 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
32, N3 0 H1 1 C4 1 O2 2 C4 2 H1 3 H1 3 H1 3, 1 1 2 1 1 1 1, 0 0 0 0 0 0 0 0
33, C4 0 N3 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
34, N3 0 O2 1, 1, 1 -1
35, C4 0 S2 1 H1 2, 1 1, 0 0 0
36, C4 0 O2 1 O2 1 C4 2 H1 3 H1 3 H1 3, 2 1 1 1 1 1, 0 0 0 0 0 0 0
37, C3 0,, 0
38, N3 0 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
39, C4 0 H1 1 H1 1 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0
40, O2 0 C4 1 H1 2 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0
41, N3 0 C4 1 H1 2 H1 2 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0
42, C3 0 H1 1, 1, 0 0
43, O2 0 C4 1 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3 C4 2 H1 3 H1 3 H1 3, 1 1 1 1 1 1 1 1 1 1 1 1 1, 0 0 0 0 0 0 0 0 0 0 0 0 0 0
44, C4 0 F1 1 F1 1, 1 1, 0 0 0
45, N3 0 O2 1 N3 1 C4 2 H1 3 H1 3 H1 3, 1 2 1 1 1 1, 1 -1 0 0 0 0 0
46, C4 0 C4 1 O2 2 N3 2 H1 3 H1 3, 1 2 1 1 1, 0 0 0 0 0 0
47, C4 0 H1 1 N3 1 H1 2 H1 2, 1 1 1 1, 0 0 0 0 0
48, C4 0 I1 1, 1, 0 0
