CID,a
11583,127.2
11597,63.4
11610,93.6
11641,15.8
11666,147.5
11674,124
11715,138
12145,210
12220,3.73
12228,39.5
12259,87.2
12375,121.4
12437,176.5
12582,175
12661,127
12679,233
13143,98
13165,191
13190,192.7
13263,337
13381,170.56
13556,131
13571,190
13904,339
14260,233
14716,375
14778,2850
14792,3600
14794,1425
14797,1327
14798,1388
14817,515
14818,407.5
14827,1472
14862,197
14917,19.51
15122,155.4
15158,167
15600,174.1
15793,346.8
15910,350
15938,177.5
15939,177.5
16043,295
16402,205
16562,280
16704,260
16724,230.5
17049,164
17095,232.8
17581,268
17601,-5.5
17607,-55.38
18052,109.5
19244,214.6
19284,360
19883,125
20568,288
21354,232
21801,312
22044,242
22184,269
23925,2
23930,2061
23931,356.73
23960,4788
23963,3287
23969,-62.5
23973,767
23976,2642
23978,2595
23986,4603
23987,-268.928
23990,3407
23994,907
24012,182.7
24085,302
24142,148.5
24193,136.4
24261,2230
24273,1518
24287,114.15
24294,140
24295,-84.6
24350,1290
24380,316
24386,76
24387,76.1
24404,280
24408,58.8
24409,255
24410,126.5
24458,1023
24479,623
24482,160
24485,350
24523,-249.49
24524,-188.13
24526,-34.04
24533,400
24550,850
24553,-128.75
24554,376
24556,-86
24557,141
24558,-34.4444
24569,221
24570,130
24571,57.8
24575,424
24588,482
24589,1283
24593,1345
24603,163
24609,863
24611,900
24612,322
24613,193
24614,173.2
24615,288
24617,2500
24630,400
24637,11.75
24638,151.5
24647,180
24648,69.3
24649,151
24670,257
24722,134
24726,108
24807,137
24813,105.8
24814,220.3
24816,59
24820,1400
24823,-111.9
24848,645
24854,1935
24870,11
24871,1200
24947,960
25134,91.3
25135,12.5
25352,21.15
25508,204
25511,233
26447,210
27867,227
30318,130.0
31215,157.9
31217,245
31237,328
31245,117
31253,167
31254,182.5
31256,167.9
31260,132.5
31261,138
31263,170
31268,86.56
31271,404.84
31272,126.0
31275,101.2
31276,142
31278,343
31285,146.9
31288,245
31347,285
31369,59.4
31370,126.5
31373,121.2
31374,164
31404,265
32898,220
33934,370
40818,198.5
62695,3.73
64685,212
88899,216
89594,247
104730,2
104745,141.1
104775,163.5
110612,220
122903,269.9
140487,31.8
145068,-151.74
159055,209
165453,200
165675,214.6
171144,324
200164,337.5
220520,470
224478,1673
439568,212
439570,230.5
440968,156
442021,470
443159,210
445070,111.5
447466,102.2
517232,60
517277,4000
518772,43
521701,312
637511,253
637563,234
637566,230
637892,131
638011,229
642197,155.4
643779,229
643911,131
657014,212
1201518,212
1549040,234
1549107,111.5
1549108,111.5
1549109,111.5
2724148,200
3028194,1342
3032536,1049
3032552,21.15
4223794,16.6
5280970,104.3
5352425,1740
5354264,175
5354495,1587
5359268,2327
5359367,1564
5360545,881.4
5370144,142
5371560,400
5371561,400
5371562,125
5460341,1484
5460467,2468
5462222,759
5462224,1100
6327386,41
6328200,-92.5
6380953,40
6432115,155.4
6552009,212
9543187,209
9855836,200
9989226,2977
10997035,175
11542767,2327
12242824,212
14030006,313
15764013,60
16213094,171.2
21902459,200
23266392,55.5
25141463,157
25200171,220
25200196,312
25203927,312
42626440,3407
44263835,34
44630107,212
45039692,214.6
54604154,16.6
69897601,470
71586773,707
71586776,121
86636910,200
101008927,157
101943071,117
135564772,198
135565233,120
