CID,a
1_1-Dimethylhydrazine,164.05
n-Butyliodide,164.5
Morpholine,164.8
2-Methylbutane,164.85
Benzonitrile,165.2
Cyclopentanethiol,165.2
2-Iodobutane,165.3
Methyl propyl ether,165.4
1-Iodo-2-methylpropane,165.5
1_1_2_2-Tetrabromoethane,165.7
t-Butylbromide,165.7
Cyclohexaneepoxide,166.1
N-Methylpyrrolidone,166.26
1_2_3-Tribromopropane,166.5
2-Chlorotoluene,166.8
1_3-Dioxepane,167.0
1_1-Difluoro-1_2_2-trichloroethane,167.04
Pentane,167.19
Cyclopentanecarbonitrile,167.4
Propylenecarbonate,167.4
N-Methylpyrrolidine,167.746
1_1_2_2-Tetrachloroethane,168.0
1_1_1-Trichlorotrifluoroethane,168.6
Ethylacetate,169.06
1_3-Diiodopropane,169.2
Diethylamine,169.2
2-Cyanopropionaldehyde,169.5
Pyrrolidone,169.5
Vinylacetate,169.5
Ethylene-1_2-diamine,170.0
1-Cyanobicyclo(3_1_0)hexane,170.3
2-Nitropropane,170.3
Ethylnitrate,170.3
n-Butyrylchloride,170.7
Valerolactone,170.7
1_2-Dichlorobenzene,170.9
1_3-Dichlorobenzene,170.9
1_2-Dimethylhydrazine,171.04
3-Chloro-1_1_1-trifluoropropane,171.08
2-Fluorotoluene,171.2
2-Mercaptobutane,171.2
Diethylsulfide,171.42
Dichlorodimethylsilane,171.5
n-Propylformate,171.5
Methyl-n-propylsulfide,171.63
Cycloheptene,171.7
Isobutylmercaptan,171.88
2-Methyltetrahydrothiophene,172.0
n-Butylmercaptan,172.3
Methylisopropylsulfide,172.38
4-Nitrotoluene,172.4
Diethylether,172.5
Methylpropionate,172.74
1_1_2-Trichlorotrifluoroethane,172.8
1_2-Dibromopropane,172.8
3-Methyltetrahydrothiophene,172.85
Thiophenol,173.22
N-Methylpyrazole,173.28
4-Fluorotoluene,173.7
1_2-Dibromotetrafluoroethane,173.8
Pentanal,174.39
2_3-Dimethyl-2-butene,174.68
t-Butylmercaptan,174.9
Dimethylacetamide,175.6
1_3-Propyleneglycol,175.78
2-Methoxyethanol,176.4
1-Bromo-2-chlorobenzene,176.9
1-Butanol,177.16
Methylenecyclohexane,177.4
Butyric acid,177.7
Cyclohexanecarbonitrile,177.8
Benzaldehyde,177.9
Methylvinyldichlorosilane,177.9
2_5-Dimethylthiophene,178.32
cis-2-Hexene,178.36
1_1_2_2-Tetrachloro-1_2-difluoroethane,178.7
Aniline,178.7
Benzofuran,178.7
Isopentyliodide,178.7
N-Methylpropionamide,179.0
1-Butylamine,179.2
2-Cyano-2-methylpropane,179.37
