CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_Si4,na_in_e*2,na_ex_C4,na_ex_Cl1,na_ex_N3,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_N3_3_1,C4_2_O2_2_1,C4_2_Si4_4_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_N3_2_2,C4_3_N3_3_1,C4_3_O2_2_1,C4_3_Si4_4_1,N3_2_N3_2_1,O2_2_Si4_4_1,e*2_2_C4_2_1,e*2_2_C4_3_1,e*2_2_C4_4_1,e*2_2_N3_2_1,e*2_2_O2_2_1,e*2_2_Si4_4_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_N3_3_1,link_edge_C4_3_O2_2_1,link_edge_O2_2_Si4_4_1,link_edge_e*2_2_C4_2_1,link_edge_e*2_2_C4_3_1,link_edge_e*2_2_C4_4_1,link_edge_e*2_2_N3_2_1,link_edge_e*2_2_O2_2_1,link_edge_e*2_2_Si4_4_1,LeafAC_C4_C4_1,LeafAC_C4_C4_2,LeafAC_C4_O2_1,LeafAC_C4_Si4_1,LeafAC_Cl1_C4_1,LeafAC_N3_C4_3,LeafAC_O2_C4_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_51_0_/_/_0,FC_4_C4_0_/_/_0,FC_5_O2_0_/_/_0,FC_6_C4_0_O2_1_/_2_/_0_0,FC_7_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_N3_0_/_/_0,FC_10_Si4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_11_N3_0_H1_1_/_1_/_0_0,FC_12_C4_0_Cl1_1_/_1_/_0_0,FC_13_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_15_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_16_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_17_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_18_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_O2_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_21_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_22_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_/_1_1_1_1_1_3_/_0_0_0_0_0_0_0,FC_23_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_24_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_25_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_26_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_27_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_28_C4_0_O2_1_C4_1_H1_2_H1_2_Cl1_2_/_2_1_1_1_1_/_0_0_0_0_0_0,FC_29_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_30_C4_0_C4_1_H1_2_H1_2_Cl1_2_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_31_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_Cl1_2_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_32_C4_0_O2_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_2_1_1_2_1_1_/_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_O2_2,CS_connecting_vertices_Si4_4,CS_connecting_vertices_e*2_2
Polyisobutylene,5,1,3,3,43.0769,0,2,0,1,0,3,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly[oxy(methylphenylsilylene)],10,2,9,3,75.5556,0,7,1,1,0,7,2,0,3,0,6,0,1,1,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,5,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Poly(vinylCyclohexane),9,2,9,3,47.8261,0,7,2,0,0,7,2,0,0,0,8,0,0,0,1,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly[oxy(methylN-octadecylsilylene)],22,1,19,3,50.3226,0,18,0,1,1,17,1,0,0,0,16,0,1,1,1,3,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,15,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Polychloroprene,6,1,5,5,80.3636,0,4,1,0,0,5,0,0,1,0,4,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinylSec-butylEther),8,1,5,3,50,0,3,2,0,1,3,1,0,0,0,3,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(1_2_2-trimethylpropylMethacrylate),13,1,6,3,54.8387,0,3,2,1,1,4,1,0,0,0,4,0,1,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
Poly[oxy(methylN-octylsilylene)],12,1,9,3,53.75,0,8,0,1,1,7,1,0,0,0,6,0,1,1,1,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,5,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Poly(N-vinylCarbazole),16,4,16,3,71.4815,0,10,6,0,0,10,6,0,6,0,14,1,0,0,1,0,0,0,0,3,3,3,2,0,0,0,0,0,2,1,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,9,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinylAcetate),7,1,4,3,66.1538,0,3,1,0,1,2,1,0,0,0,2,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinylN-butylEther),8,1,6,3,50,0,5,1,0,1,4,1,0,0,0,4,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethyleneSebacate),17,1,15,15,61.6216,0,13,2,0,0,15,0,0,0,0,12,0,2,0,1,0,0,0,2,8,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,8,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,10,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(p-t-butylStyrene),13,2,9,3,55.1724,0,6,3,0,0,7,2,0,3,0,8,0,0,0,1,4,0,0,0,1,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Poly(N-vinylPyrrolidone),9,2,8,3,61.6667,0,5,3,0,0,6,2,0,0,0,6,1,0,0,1,0,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(1-phenylethylMethacrylate),15,2,12,3,65.5172,0,8,3,1,0,10,2,0,3,0,10,0,1,0,1,2,0,0,1,2,2,1,1,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,1,5,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Polyisoprene,6,1,5,5,48.5714,0,4,1,0,0,5,0,0,1,0,4,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinylN-decylEther),14,1,12,3,48.4211,0,11,1,0,1,10,1,0,0,0,10,0,1,0,1,2,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(oxy-2_2-dichloromethyltrimethylene),9,1,5,5,91.0588,0,4,0,1,0,5,0,0,0,0,3,0,1,0,1,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
Poly(1-methylpentylMethacrylate),13,1,8,3,54.8387,0,5,2,1,1,6,1,0,0,0,6,0,1,0,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,2,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(t-butylMethacrylate),11,1,5,3,56.8,0,3,1,1,1,3,1,0,0,0,3,0,1,0,1,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
Poly[oxy(methylM-chlorophenylethylsilylene)],13,2,11,3,82.6667,0,8,2,1,0,9,2,0,3,0,8,0,1,1,1,1,1,0,0,2,1,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,2,4,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Poly(12-aminododecanoicAcid),15,1,14,14,51.8421,0,13,1,0,0,14,0,0,0,0,12,1,0,0,1,0,0,0,1,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,10,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethyleneSuberate),15,1,13,13,64.5161,0,11,2,0,0,13,0,0,0,0,10,0,2,0,1,0,0,0,2,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,6,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,8,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly[oxy(methylN-tetradecylSilylene)],18,1,15,3,51.2,0,14,0,1,1,13,1,0,0,0,12,0,1,1,1,3,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,11,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Poly(vinylN-octylEther),12,1,10,3,48.75,0,9,1,0,1,8,1,0,0,0,8,0,1,0,1,2,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(o-methylStyrene),10,2,9,3,59,0,6,3,0,0,7,2,0,3,0,8,0,0,0,1,1,0,0,0,1,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(n-octylMethacrylate),15,1,11,3,53.5135,0,9,1,1,1,9,1,0,0,0,9,0,1,0,1,3,0,0,1,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,6,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethyleneAdipate),13,1,11,11,68.8,0,9,2,0,0,11,0,0,0,0,8,0,2,0,1,0,0,0,2,4,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,4,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,6,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(8-aminocaprylicAcid),11,1,10,10,54.2308,0,9,1,0,0,10,0,0,0,0,8,1,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,6,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(diphenylmethylMethacrylate),20,3,18,3,70,0,13,4,1,0,14,4,0,6,0,16,0,1,0,1,1,0,0,1,4,4,2,2,1,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,11,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinylN-hexylEther),10,1,8,3,49.2308,0,7,1,0,1,6,1,0,0,0,6,0,1,0,1,2,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Polyoxyhexamethylene,8,1,8,8,50,0,8,0,0,0,8,0,0,0,0,6,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(isopropylMethacrylate),10,1,5,3,58.1818,0,3,1,1,1,3,1,0,0,0,3,0,1,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(styreneOxide),10,2,10,4,66.6667,0,8,2,0,0,8,2,0,3,0,8,0,1,0,1,0,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(vinyl2-ethylhexylEther),12,1,8,3,48.75,0,6,2,0,1,6,1,0,0,0,6,0,1,0,1,4,0,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethyleneSuccinate),11,1,9,9,75.7895,0,7,2,0,0,9,0,0,0,0,6,0,2,0,1,0,0,0,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,4,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Polystyrene,9,2,9,3,61.1765,0,7,2,0,0,7,2,0,3,0,8,0,0,0,1,0,0,0,0,2,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(dodecylMethacrylate),19,1,15,3,51.8367,0,13,1,1,1,13,1,0,0,0,13,0,1,0,1,3,0,0,1,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,10,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(methylMethacrylate),8,1,4,3,62.5,0,2,1,1,1,2,1,0,0,0,3,0,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethylAcrylate),8,1,5,3,62.5,0,3,2,0,1,3,1,0,0,0,3,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(hexamethyleneAdipamide),17,1,15,15,57.9487,0,13,2,0,0,15,0,0,0,0,12,2,0,0,1,0,0,0,2,8,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,8,0,2,0,0,1,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,10,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Poly(ethylenePhthalate),15,2,13,8,83.4783,0,9,4,0,0,11,2,0,3,0,10,0,2,0,1,0,0,0,2,3,1,0,2,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,2,4,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Poly(sec-butylMethacrylate),11,1,6,3,56.8,0,3,2,1,1,4,1,0,0,0,4,0,1,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
