CID,na_in_C4,C4_2_O2_2_1,FC_3_C4_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,na_ex_I1,LeafAC_O2_C4_1,FC_11_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,dg_in_1,LeafAC_C4_C4_1,na_ex_S2,C4_3_S2_2_1,FC_13_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_35_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_52_S6_0_O2_1_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_3_1,FC_28_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_1_C4_0_H1_1_/_1_/_0_0,FC_45_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_39_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_16_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_78_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,na_ex_C4,C4_2_N3_3_1,C4_2_C4_3_2
135424354,0.111111,0.0,0.25,0.0,0.0,0.0,0.0,0,0.4,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.0,0,0,0,0.0,0,0,0.416667,0.0,0.0
135424353,0.111111,0.0,0.125,0.0,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.0,0,0,0,0.0,0,0,0.416667,0.0,0.0
667490,0.0833333,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.1,0,0,0,0.0,0,0,0.0,0.0,0.0
4914,0.194444,0.25,0.125,0.0,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.333333,0.1,0.333333
4058,0.277778,0.0,0.25,0.0,0.0,0.0,0.5,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.25,1,0,0,0.0,0,0,0.25,0.2,0.166667
836,0.166667,0.0,0.125,0.0,0.0,0.6,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.15,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
7017,0.277778,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.0,0.0,0.5
23274301,0.194444,0.25,0.125,0.0,0.0,0.2,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.166667,0.0,0.333333
23274845,0.25,0.25,0.125,0.0,0.0,0.4,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.15,0,0,1,0.0,0,0,0.166667,0.0,0.166667
23274824,0.194444,0.25,0.125,0.0,0.0,0.2,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.333333,0.0,0.333333
4763,0.222222,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.25,0,0,0,0.0,0,0,0.166667,0.0,0.166667
61302139,0.277778,0.25,0.125,0.0,0.0,0.4,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.15,0,0,1,0.0,0,0,0.166667,0.0,0.166667
2206,0.194444,0.0,0.125,0.0,0.0,0.0,0.5,0,0.0,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.3,0,0,0,0.0,0,0,0.166667,0.0,0.333333
10378872,0.361111,0.0,0.125,0.0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.2,0,0,1,0.0,0,0,0.0,0.0,0.166667
773301,0.111111,0.0,0.125,0.0,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.2,0,0,0,0.0,0,0,0.333333,0.0,0.333333
1986,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1,0.2,0.142857,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.166667,0.0,0.0
4253,0.388889,0.0,0.5,0.0,0.0,0.4,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.35,0,0,0,0.0,0,0,0.0833333,0.1,0.0
1302,0.25,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.25,0.0,0.333333
13763146,0.138889,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,1.0,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
4100,0.0,0.0,0.125,0.0,0.0,0.0,0.5,0,0.2,0.142857,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.25,0.0,0.0
2828,0.388889,0.0,0.5,0.0,0.0,0.2,0.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.35,0,0,0,0.5,0,0,0.166667,0.1,0.0
3394,0.305556,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.4,0,0,0,0.0,0,0,0.166667,0.0,0.333333
4044,0.277778,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.0,0,0,1,0.0,0.666667,0.35,0,0,0,0.0,0,0,0.25,0.0,0.5
2732945,0.277778,0.0,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,1,0,0,0.5,0,0,0.333333,0.0,0.333333
13763156,0.138889,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
13763157,0.138889,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,1.0,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
3335,0.361111,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,1,0,0.0,0,0,0.0833333,0.0,0.5
3059,0.277778,0.0,0.25,0.0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,1,0.0,0.0,0.3,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
3825,0.333333,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.166667,0.0,0.5
21864625,0.194444,0.0,0.125,0.0,0.0,0.4,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.15,0,0,0,0.0,0,0,0.416667,0.0,0.5
1775,0.361111,0.0,0.375,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.5,0,0,0,0.0,0,0,0.0,0.0,0.333333
37712,0.388889,0.25,0.25,0.0,0.0,0.4,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.4,0,0,1,0.0,0,0,0.0,0.0,0.333333
5215,0.222222,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.35,0,0,0,0.0,0,0,0.0,0.0,0.333333
3345,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.55,0,0,0,0.0,0,0,0.166667,0.3,0.333333
10062976,0.0555556,0.0,0.125,0.0,0.0,0.0,0.0,1,0.2,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.166667,0.1,0.0
23275681,0.305556,0.25,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.25,0.0,0.333333
138395470,0.305556,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.0,0.333333
3033,0.305556,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.35,0,1,0,0.0,0,0,0.0833333,0.0,0.5
1065,0.416667,0.0,0.375,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.35,0,0,0,0.5,1,0,0.25,0.2,0.166667
5340,0.194444,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.333333,0.0,0,0.25,0,0,0,0.0,0.0,0.3,0,0,0,0.0,0,0,0.0,0.0,0.333333
3295,0.138889,0.0,0.375,0.0,0.0,0.0,0.0,0,0.2,0.142857,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.15,1,0,0,0.0,0,0,0.166667,0.0,0.166667
71768,0.416667,0.0,0.375,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.25,0,0,0,0.0,0,0,0.333333,0.0,0.333333
10087109,0.333333,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.0,0.333333
3325,0.138889,0.0,0.25,0.0,0.0,0.0,0.0,0,0.4,0.0,0,0.333333,0.0,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
23276128,0.333333,0.25,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.0,0.333333
138395487,0.388889,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.0,0.333333
395819,0.0,0.0,0.125,0.0,0.0,0.0,0.0,1,0.2,0.0,0,0.666667,0.5,0,0.0,1,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.166667,0.0,0.0
3016,0.361111,0.0,0.5,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.4,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
10404097,0.388889,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.25,0.0,0.5
23276569,0.333333,0.25,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.5,0.0,0.333333
23276582,0.361111,0.25,0.375,0.333333,0.0,0.2,0.5,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.1,0.333333
561987,0.305556,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.45,0,0,0,0.0,0,0,0.166667,0.0,0.5
3061,0.944444,0.25,0.125,1.0,0.0,1.0,0.0,0,0.0,0.714286,0,0.0,0.0,0,0.0,0,0,0,0.0,0.666667,0.55,0,0,0,0.0,0,0,0.416667,0.0,0.166667
100930149,0.416667,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.25,0.0,0.5
10594934,0.138889,0.0,0.125,0.0,0.0,0.0,0.0,1,0.2,0.0,0,0.666667,0.5,0,0.25,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.166667,0.1,0.0
10247552,0.444444,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.25,0.0,0.5
14500288,0.416667,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.571429,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.416667,0.0,0.5
100930150,0.472222,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.45,0,0,0,0.0,0,0,0.25,0.0,0.5
41693,0.472222,0.0,0.375,0.0,0.0,0.0,0.0,0,0.4,0.142857,0,0.333333,0.0,0,0.0,0,0,0,0.0,0.0,0.4,0,0,0,0.0,0,0,0.25,0.3,0.333333
77817166,0.416667,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.5,0.0,0.3,0,0,1,0.5,0,0,0.416667,0.0,0.333333
9886533,0.416667,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,1,0.5,0,0,0.416667,0.0,0.333333
135214,0.166667,0.0,0.375,0.0,0.0,0.0,0.0,0,0.2,0.428571,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.15,0,0,0,0.0,0,0,0.333333,0.0,0.166667
10811046,0.5,1.0,0.375,0.333333,0.0,0.0,0.0,0,0.0,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.166667,0.3,0.333333
23276725,0.361111,0.25,0.375,0.333333,0.0,0.0,0.5,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,0,0.5,0,0,0.333333,0.1,0.333333
76121020,0.472222,0.5,0.375,0.333333,0.0,0.0,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.3,0,0,1,0.5,0,0,0.416667,0.0,0.333333
4614,0.416667,0.0,0.625,0.0,0.0,0.2,0.0,0,0.2,0.0,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.5,0,1,0,0.0,0,0,0.0833333,0.0,0.333333
100961794,0.333333,0.0,0.625,0.0,0.0,0.0,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.25,0,0,0,0.0,0,0,0.25,0.0,0.5
156809,0.25,0.0,0.375,0.0,0.0,0.2,0.0,0,0.2,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.15,0,0,0,0.0,0,0,0.416667,0.0,0.166667
2726,0.361111,0.0,0.5,0.0,0.0,0.0,0.0,0,0.2,0.0,0,0.666667,0.0,0,0.0,0,0,0,0.0,0.0,0.35,0,0,0,0.0,0,0,0.166667,0.1,0.5
13763162,0.138889,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
10642039,0.166667,0.0,0.125,0.0,0.0,0.0,0.0,0,0.2,0.0,0,0.0,1.0,0,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
13763155,0.138889,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
13763158,0.138889,0.0,0.25,0.0,0.0,0.2,0.0,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
13763159,0.138889,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
13763149,0.138889,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.05,0,0,0,0.0,0,0,0.0,0.0,0.166667
4781,0.416667,0.0,0.25,0.0,0.0,0.0,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.55,0,0,0,0.0,0,0,0.166667,0.0,0.333333
18794,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.25,0,0,0,0.0,0,0,0.0,0.0,0.166667
4323207,0.194444,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.25,0,0,0,0.0,0,0,0.0,0.0,0.166667
10762855,0.277778,0.5,0.375,0.0,0.0,0.0,0.0,0,0.2,0.0,0,0.666667,0.5,0,0.25,0,0,0,0.0,0.0,0.15,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
394904,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.142857,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.333333,0.2,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
394906,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0.333333
134560,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0.333333
395816,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0.333333
10833200,0.194444,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0
202890,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0.333333
85241750,0.194444,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.25,0,0,0,0.0,0,0,0.0833333,0.0,0.166667
10760314,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.5,0,0,0.0833333,0.0,0.333333
5405,0.722222,0.0,0.375,0.0,0.0,0.4,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.75,0,0,0,0.0,0,0,0.333333,0.3,0.666667
85274612,0.166667,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.142857,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.333333,0.2,0,0,0,0.0,0,0,0.166667,0.0,0.333333
3715,0.388889,0.0,0.5,0.0,0.0,0.2,0.0,0,0.2,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.35,0,1,0,0.5,0,0,0.25,0.0,0.5
10575994,0.0833333,0.0,0.125,0.0,0.0,0.0,0.0,1,0.2,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0833333,0.0,0.0
77814860,0.583333,0.5,0.5,0.333333,0.0,0.0,0.0,0,0.0,0.142857,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.55,0,0,1,0.5,0,0,0.166667,0.0,0.5
85216231,0.166667,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
10548739,0.194444,0.0,0.25,0.333333,0.0,0.0,0.0,0,0.2,0.285714,0,0.666667,0.5,1,0.0,0,0,0,0.0,0.0,0.1,0,0,0,0.0,0,0,0.333333,0.0,0.166667
395820,0.166667,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
74020883,0.166667,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
11696964,0.166667,0.0,0.25,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.666667,0.5,0,0.0,0,0,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0,0.0,0.333333
85180269,0.166667,0.0,0.25,0.0,0.0,0.0,0.5,0,0.0,0.0,0,0.666667,0.5,0,0.0,0,1,0,0.0,0.0,0.2,0,0,0,0.0,0,0,0.0833333,0.0,0.333333
10386217,0.416667,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.3,0,0,0,1.0,0,0,0.166667,0.4,0.5
