CID,na_in_C4,C4_2_O2_2_1,FC_3_C4_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_/_0_0_0_0_0_0,na_ex_I1,LeafAC_O2_C4_1,FC_11_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,N3_2_N3_2_1,dg_in_1,LeafAC_C4_C4_1,na_ex_S2,C4_3_S2_2_1,FC_13_C4_0_S6_1_O2_2_O2_2_N3_2_H1_3_H1_3_/_1_2_2_1_1_1_/_0_0_0_0_0_0_0,FC_35_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,C4_2_N3_2_1,FC_52_S6_0_O2_1_O2_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_2_2_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,N3_2_N3_3_1,FC_28_C4_0_C4_1_O2_2_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,FC_22_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_14_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_1_C4_0_H1_1_/_1_/_0_0,FC_45_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_39_C4_0_H1_1_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_30_C4_0_H1_1_N3_1_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_16_C4_0_O2_1_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,FC_78_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_/_1_1_1_2_1_1_/_0_0_0_0_0_0_0,FC_36_C4_0_H1_1_H1_1_C4_1_C4_2_H1_3_/_1_1_1_3_1_/_0_0_0_0_0_0,na_ex_C4,C4_2_N3_3_1,C4_2_C4_3_2,FC_38_N3_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_3_S6_4_1,C4_3_N3_2_2,C4_2_C4_3_1,N3_3_S6_4_1,C4_2_N3_3_2,FC_18_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_47_C4_0_O2_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_54_C4_0_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_63_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_H1_3_N3_2_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_62_C4_0_H1_1_C4_1_O2_2_O2_2_H1_3_/_1_1_2_1_1_/_0_0_0_0_0_0,FC_82_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_65_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_80_C4_0_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_/_0_0_0_0_0_0,N3_2_N3_2_2,FC_87_N3_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,C4_4_O2_2_1,FC_75_S6_0_O2_1_O2_1_C4_1_F1_2_F1_2_F1_2_/_2_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_C4_0_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0,FC_7_O2_0_/_/_0,FC_57_C4_0_H1_1_N3_1_H1_2_H1_2_C4_1_O2_2_O2_2_H1_3_/_1_1_1_1_1_2_1_1_/_0_0_0_0_0_0_0_0_0,FC_77_C4_0_H1_1_N3_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,LeafAC_C4_C4_3,dg_1,LeafAC_N3_C4_2
10601296,0.388889,0.0,0.5,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.5,0,0.25,0,0,0,0.0,0.0,0.3,0,0,0,0.0,0,0,0.0,0.0,0.333333,0,0.5,0.666667,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
54118995,0.833333,0.0,0.5,0.0,0.0,0.4,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.75,0,0,0,0.5,0,0,0.416667,0.5,0.5,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
54158614,0.833333,0.0,0.625,0.0,0.0,0.4,0.0,0,0.4,0.571429,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.75,1,0,0,0.0,0,0,0.5,0.5,0.666667,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
10886301,0.722222,0.5,0.875,0.0,0.0,0.0,0.5,0,0.2,0.0,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.5,0,0,0,0.0,0,1,0.25,0.5,0.833333,0,0.0,0.333333,0.533333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.142857,0,0,1,0,0
10416346,0.75,0.0,0.875,0.0,0.0,0.2,0.5,0,0.4,0.0,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.5,0,0,0,0.0,0,1,0.333333,0.8,0.833333,0,0.0,0.333333,0.533333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,1,0,0
75001312,0.888889,0.25,0.75,0.0,0.0,0.4,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.8,0,0,0,0.0,0,0,0.333333,0.5,0.833333,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.142857,0,0,0,0,0
75018658,0.861111,1.0,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.25,0.0,0.666667,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.428571,0,0,0,0,0
53849592,0.888889,0.0,0.75,0.0,0.0,0.4,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.8,0,0,0,0.0,0,0,0.333333,0.5,0.833333,0,0.0,0.333333,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
4318,0.916667,0.0,0.75,0.0,0.0,0.4,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.85,0,0,0,0.0,0,0,0.333333,0.5,1.0,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.142857,0,0,0,0,0
75018665,0.861111,0.75,0.5,0.0,0.0,0.2,0.5,0,0.0,0.285714,0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.333333,0.1,0.666667,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75001273,0.888889,0.0,0.75,0.0,0.0,0.4,0.0,0,0.2,0.428571,0,0.0,0.0,0,0.25,0,0,0,0.0,0.0,0.8,0,0,0,0.0,0,0,0.333333,0.5,0.666667,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.142857,0,0,0,0,0
75018791,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018785,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018663,0.861111,1.0,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.9,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.428571,0,0,0,0,0
75018642,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018736,0.861111,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.75,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.25,0.0,0.5,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018643,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
19035059,0.861111,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.25,0.0,0.666667,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
13385538,0.75,0.0,0.25,0.0,0.0,0.6,0.0,0,1.0,1.0,0,0.0,0.0,0,0.75,0,0,0,1.0,0.0,0.55,0,0,0,0.0,0,0,1.0,0.3,0.333333,0,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
19035048,0.888889,0.25,0.5,0.0,0.0,0.2,0.5,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.416667,0.1,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
19035053,0.888889,0.25,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
18939846,0.833333,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.333333,0.0,0,0.5,0,0,0,0.0,0.0,0.9,0,0,0,0.0,0,0,0.25,0.0,0.5,0,0.0,0.333333,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
19035067,0.833333,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.333333,0.0,0,0.5,0,0,0,0.0,0.0,0.9,0,0,0,0.0,0,0,0.25,0.0,0.5,0,0.0,0.333333,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
53632006,0.888889,0.0,0.75,0.0,0.0,0.4,0.0,0,0.2,0.571429,0,0.0,0.0,0,0.0,0,0,0,0.0,0.333333,0.75,0,0,0,0.0,0,0,0.416667,0.5,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.142857,0,0,0,0,0
19035031,0.888889,0.25,0.5,0.0,0.0,0.2,0.5,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.416667,0.1,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
18939731,0.861111,0.25,0.5,0.0,0.0,0.2,0.5,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.333333,0.1,0.666667,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
18939826,0.888889,0.25,0.5,0.0,0.0,0.2,0.5,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.416667,0.1,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
18939661,0.861111,0.25,0.5,0.0,0.0,0.2,0.5,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.0,0,0,0.333333,0.1,0.666667,0,0.0,0.0,0.733333,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.142857,0,0,0,0,0
75018650,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.5,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018651,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.5,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
18939823,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.25,0,0,0,0.0,0.333333,0.95,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018591,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.5,0,0,0.333333,0.0,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018592,0.888889,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.285714,0,0.0,0.0,0,0.5,0,0,0,0.0,0.0,0.95,0,0,0,0.5,0,0,0.333333,0.0,0.833333,0,0.0,0.0,0.866667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
75018679,0.861111,0.5,0.5,0.0,0.0,0.2,0.0,0,0.0,0.428571,0,0.0,0.0,0,0.5,0,0,0,0.0,0.333333,0.9,0,0,0,0.0,0,0,0.333333,0.0,0.666667,0,0.0,0.333333,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.5,0.285714,0,0,0,0,0
14162457,0.694444,0.0,0.25,0.0,0.0,0.4,0.0,0,0.8,1.0,0,0.0,0.0,0,0.75,0,0,0,1.0,0.0,0.55,0,0,0,0.0,0,0,0.916667,0.0,0.333333,0,0.0,0.0,0.666667,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,1,0,0,0,0
