CID,a
7778, 1638
86749, 1537
5282109, 1717
5319723, 1919
5352162, 1868
62321, 1698
60985, 1739
5354882, 1700
6086514, 1821
8294, 1569
10975, 1631
1549025, 1735
22764431, 1725
6549, 1555
13547825, 1660
89385, 1422
8842, 1765
9017, 1671
30249, 1582
86748, 1449
5464156, 1707
5365982, 1794
643820, 1808
8835, 1811
5355856, 1904
7792, 1675
86751, 1449
61098, 1624
6548, 1431
543323, 1760
8834, 1738
637566, 1842
5355853, 1834
30247, 1609
6532, 1622
96291, 1600
5365991, 1790
6430998, 1685
