CID,na_in_S2,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,C4_2_O2_2_1,na_in_C4,C4_3_N3_2_2
137628619,0.5,0,0.166667,0.764706,0.666667
92044400,0.5,0,0.583333,0.705882,1.0
162661974,0.5,0,0.5,0.823529,0.666667
137628657,0.0,0,0.5,0.647059,0.666667
162644604,0.5,0,0.5,0.823529,0.666667
137628637,0.5,1,0.166667,0.529412,0.333333
137628658,0.0,0,0.583333,0.764706,1.0
137628618,0.5,0,0.166667,0.764706,0.666667
124201820,1.0,0,0.5,0.588235,1.0
134160242,1.0,0,1.0,1.0,0.0
134160243,1.0,0,1.0,1.0,0.0
145874883,0.5,0,0.333333,0.882353,0.0
118912822,0.5,0,0.0,0.0,1.0
135156947,0.5,0,0.416667,0.588235,0.333333
139035048,0.5,0,0.0,0.823529,0.0
131986956,0.0,0,0.0,1.0,0.0
122201421,1.0,0,0.5,0.588235,1.0
122551841,0.5,0,0.5,0.941176,0.0
131801483,1.0,0,0.5,0.294118,0.666667
138454768,0.5,1,0.0833333,0.823529,0.0
132427808,0.5,0,0.0,0.235294,1.0
