CID,na_in_S2,FC_17_N3_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0
137628619,0.5,0
92044400,0.5,0
162661974,0.5,0
137628657,0.0,0
162644604,0.5,0
137628637,0.5,1
137628658,0.0,0
137628618,0.5,0
124201820,1.0,0
134160242,1.0,0
134160243,1.0,0
145874883,0.5,0
118912822,0.5,0
135156947,0.5,0
139035048,0.5,0
131986956,0.0,0
122201421,1.0,0
122551841,0.5,0
131801483,1.0,0
138454768,0.5,1
132427808,0.5,0
