CID,na_in_C4,LeafAC_Cl1_C4_1,LeafAC_C4_C4_1,C4_2_N3_3_1,LeafAC_O2_C4_1,C4_3_C4_4_1,LeafAC_N3_C4_2,LeafAC_O2_P3_2,C4_3_N3_3_1,LeafAC_O2_N3_2,FC_286_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_O2_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_/_0_0_0_0_0_0_0_0_0_0,C4_2_O2_2_1,FC_10_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_86_O2_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,O2_2_O2_2_1,FC_3_C4_0_/_/_0,FC_179_C4_0_N3_1_H1_2_/_2_1_/_0_0_0,LeafAC_Br1_C4_1,FC_199_C4_0_N3_1_O2_2_/_1_2_/_0_0_0,LeafAC_O2_P5_1,FC_5_N3_0_/_/_0,LeafAC_C4_Si4_1,LeafAC_C4_N3_1,na_ex_C4,FC_321_N3_0_C4_1_H1_2_H1_2_H1_2_C4_1_N3_2_H1_3_N3_2_H1_3_H1_3_/_1_1_1_1_1_2_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_248_C4_0_H1_1_N3_1_O2_2_H1_3_/_1_2_1_1_/_0_0_0_0_0,na_ex_I1,C4_3_S2_2_1,FC_220_C4_0_H1_1_C4_1_H1_2_H1_2_N3_2_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,bd_in_2
66752,0.289855,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.333333,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.24
7479,0.0869565,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.25,0.09375,0,0,0.0,0.0,0,0.12
9024,0.115942,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.12
18360,0.130435,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.12
527103,0.15942,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.12
643820,0.0724638,0.0,0.125,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.04
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7153,0.101449,0.0833333,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7374,0.0869565,0.0833333,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03125,0,0,0.0,0.0,0,0.12
558768,0.101449,0.0,0.166667,0.0,0.0,0.0714286,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.0
104386,0.101449,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.0
11463,0.0869565,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
3306,0.115942,0.0,0.0416667,0.0,0.0833333,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.12
7212,0.0869565,0.25,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.03125,0,0,0.0,0.0,0,0.12
14896,0.101449,0.0,0.0833333,0.0,0.0,0.142857,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
22692,0.15942,0.0,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0833333,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.0
39485,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.12
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
5634,0.115942,0.0,0.0,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
86171,0.275362,0.0,0.0416667,0.166667,0.0,0.0714286,0.0,0,0.0769231,0.0,0,0.166667,0.0,0.0,0.0,0.166667,0,0.0,0,0.0,0.125,0.0,0.25,0.125,0,0,0.0,0.0,0,0.24
338733,0.173913,0.0,0.0833333,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
77353,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.12
162097,0.0869565,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.0
7390,0.0869565,0.0,0.166667,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.12
5794768,0.347826,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.25,0.0,0.0,0.0,0,0,0.0,0.0,0,0.4
3571576,0.42029,0.0,0.416667,0.0,0.0833333,0.142857,0.0,0,0.153846,0.0,0,0.0,0.0,0.0,0.0,0.555556,0,0.0,0,0.0,0.75,0.0,0.0,0.375,0,0,0.0,0.0,0,0.56
7619,0.15942,0.0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.166667,0,0.0,0,0.0,0.25,0.0,0.0,0.0,0,0,0.0,0.5,0,0.16
88303,0.101449,0.0,0.125,0.0,0.0,0.285714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
12968,0.0434783,0.0,0.125,0.166667,0.0,0.0,0.0,0,0.0769231,0.0,0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0.125,0.0,0.0,0.1875,0,0,0.0,0.166667,0,0.0
12968,0.0434783,0.0,0.125,0.166667,0.0,0.0,0.0,0,0.0769231,0.0,0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0.125,0.0,0.0,0.1875,0,0,0.0,0.166667,0,0.0
12968,0.0434783,0.0,0.125,0.166667,0.0,0.0,0.0,0,0.0769231,0.0,0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0.125,0.0,0.0,0.1875,0,0,0.0,0.166667,0,0.0
12968,0.0434783,0.0,0.125,0.166667,0.0,0.0,0.0,0,0.0769231,0.0,0,0.0,0.333333,0.0,0.0,0.0,0,0.0,0,0.0,0.125,0.0,0.0,0.1875,0,0,0.0,0.166667,0,0.0
61718,0.202899,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.5,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0
6328250,0.173913,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.222222,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.24
13037,0.101449,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.12
97433,0.101449,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.12
175948,0.115942,0.0,0.125,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.12
1549025,0.0869565,0.0,0.166667,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.04
1272250,0.115942,0.0,0.0833333,0.0,0.0416667,0.142857,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.04
13398,0.0869565,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.0
23290047,0.217391,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.166667,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.24
82056,0.188406,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.333333,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.0
79717,0.188406,0.0,0.25,0.0,0.0833333,0.142857,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.24
11146,0.73913,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.5,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.0
3017783,0.057971,0.0,0.208333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.21875,0,0,0.0,0.0,0,0.0
7728,0.0724638,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.125,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
7076215,0.101449,0.0,0.166667,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.0
5755,0.26087,0.0,0.0833333,0.0,0.125,0.285714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.08
5755,0.26087,0.0,0.0833333,0.0,0.125,0.285714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.08
5755,0.26087,0.0,0.0833333,0.0,0.125,0.285714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.08
5755,0.26087,0.0,0.0833333,0.0,0.125,0.285714,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.08
66357,0.130435,0.0,0.0416667,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.12
5794,0.217391,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.666667,0.333333,0.0,0.0,0.222222,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.12
7713,0.202899,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.166667,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.24
86261,0.188406,0.166667,0.166667,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.25,0,0,0.0,0.0,0,0.24
5362721,0.144928,0.0,0.0416667,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0625,0,0,0.0,0.0,0,0.04
440968,0.101449,0.0,0.125,0.0,0.0,0.142857,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.09375,0,0,0.0,0.0,0,0.04
24764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.428571,0.0,0.1875,0,0,0.0,0.0,0,0.0
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
323,0.130435,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.16
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
22311,0.0869565,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.04
247573,0.101449,0.0,0.166667,0.0,0.0,0.142857,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.0
24915,0.144928,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.166667,0.0,0.0,0.0555556,0,0.0,0,0.0,0.0,0.0,0.0,0.125,0,0,0.0,0.0,0,0.12
121752,0.057971,0.0,0.125,0.0,0.0416667,0.0,0.0,0,0.0,0.0,0,0.25,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.0
169132,0.101449,0.0,0.125,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.15625,0,0,0.0,0.0,0,0.0
7597,0.188406,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.111111,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.24
62343,0.057971,0.0,0.0833333,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.166667,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.1875,0,0,0.0,0.0,0,0.0
