CID,rank,n_in,ms,dg_2,dg_3,dg_in_2,bd_in_2,na_in_C4,na_ex_C4,na_ex_O2,na_ex_Si4,C4_2_C4_2_2,C4_2_C4_3_2,FC_2_C4_0_H1_1_/_1_/_0_0,FC_9_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_O2_2_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_10_C4_0_/_/_0,LeafAC_C4_C4_1,LeafAC_C4_Si4_1,LeafAC_O2_C4_1
0,0,1,42.3529,1,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0
1,0,2,43,2,0,0,0,2,4,0,0,0,0,0,0,0,2,0,0
2,0,3,43.4783,3,0,1,0,3,4,0,0,0,0,0,0,0,2,0,0
3,0,4,43.8462,4,0,2,0,4,4,0,0,0,0,0,0,0,2,0,0
4,0,5,44.1379,5,0,3,0,5,4,0,0,0,0,0,0,0,2,0,0
5,0,6,44.375,6,0,4,0,6,4,0,0,0,0,0,0,0,2,0,0
6,0,7,44.5714,7,0,5,0,7,4,0,0,0,0,0,0,0,2,0,0
7,0,9,44.878,9,0,7,0,9,4,0,0,0,0,0,0,0,2,0,0
8,0,11,45.1064,11,0,9,0,11,4,0,0,0,0,0,0,0,2,0,0
9,0,12,45.2,12,0,10,0,12,4,0,0,0,0,0,0,0,2,0,0
10,0,13,45.283,13,0,11,0,13,4,0,0,0,0,0,0,0,2,0,0
11,0,20,45.8696,16,4,18,0,20,10,0,0,0,0,0,0,0,8,0,0
12,0,0,43,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0
13,0,0,43,0,0,0,0,0,6,0,0,0,0,0,0,0,4,0,0
14,0,0,43.4783,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0
15,0,1,43.4783,1,0,0,0,1,6,0,0,0,0,0,0,0,4,0,0
16,0,2,43.4783,2,0,0,0,2,5,0,0,0,0,0,0,0,3,0,0
17,0,1,43.8462,0,1,0,0,1,7,0,0,0,0,0,0,0,5,0,0
18,0,1,43.8462,1,0,0,0,1,7,0,0,0,0,0,0,0,5,0,0
19,0,2,43.8462,1,1,0,0,2,6,0,0,0,0,0,0,0,3,0,0
20,0,1,44.1379,1,0,0,0,1,8,0,0,0,0,0,0,0,6,0,0
21,0,3,43.8462,3,0,1,0,3,5,0,0,0,0,0,0,0,3,0,0
22,0,4,44.1379,4,0,2,0,4,5,0,0,0,0,0,0,0,3,0,0
23,1,5,46.6667,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0
24,1,6,46.6667,6,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
25,1,7,46.6667,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0
26,1,8,46.6667,8,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0
27,1,5,46.6667,4,1,5,0,5,1,0,0,0,0,0,0,0,1,0,0
28,1,5,46.6667,4,1,5,0,5,2,0,0,0,0,0,0,0,1,0,0
