CID,n,rank,n_in,link_edge,ms,dg_1,dg_2,dg_3,dg_4,dg_in_1,dg_in_2,dg_in_3,dg_in_4,bd_in_2,bd_in_3,na_in_C4,na_in_N3,na_in_O2,na_in_S2,na_in_S6,na_ex_C4,na_ex_Cl1,na_ex_O2,C4_2_C4_2_1,C4_2_C4_2_2,C4_2_C4_3_1,C4_2_C4_3_2,C4_2_C4_4_1,C4_2_N3_2_1,C4_2_O2_2_1,C4_3_C4_3_1,C4_3_C4_3_2,C4_3_C4_4_1,C4_3_N3_2_1,C4_3_O2_2_1,C4_3_S2_2_1,C4_3_S6_4_1,link_edge_C4_2_C4_2_1,link_edge_C4_2_C4_2_2,link_edge_C4_2_C4_3_1,link_edge_C4_2_C4_3_2,link_edge_C4_2_C4_4_1,link_edge_C4_2_N3_2_1,link_edge_C4_2_O2_2_1,link_edge_C4_3_C4_3_1,link_edge_C4_3_C4_4_1,link_edge_C4_3_N3_2_1,link_edge_C4_3_O2_2_1,link_edge_C4_3_S2_2_1,link_edge_C4_3_S6_4_1,LeafAC_C4_C4_1,LeafAC_C4_O2_1,LeafAC_Cl1_C4_1,LeafAC_O2_C4_2,LeafAC_O2_S6_2,FC_1_C4_0_H1_1_H1_1_/_1_1_/_0_0_0,FC_2_C4_0_H1_1_/_1_/_0_0,FC_3_C4_0_O2_1_/_2_/_0_0,FC_4_C4_0_/_/_0,FC_5_O2_0_/_/_0,FC_6_C4_0_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_/_0_0_0_0_0,FC_7_N3_0_H1_1_/_1_/_0_0,FC_8_C4_0_H1_1_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0,FC_9_C4_0_O2_1_O2_1_C4_2_H1_3_H1_3_H1_3_/_2_1_1_1_1_1_/_0_0_0_0_0_0_0,FC_10_O2_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,FC_11_C4_0_H1_1_H1_1_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_12_C4_0_C4_1_H1_2_H1_2_H1_2_C4_1_H1_2_H1_2_H1_2_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_13_C4_0_Cl1_1_/_1_/_0_0,FC_14_O2_0_C4_1_O2_2_C4_2_H1_3_H1_3_H1_3_/_1_2_1_1_1_1_/_0_0_0_0_0_0_0,FC_15_S6_0_O2_1_O2_1_/_2_2_/_0_0_0,FC_16_S2_0_/_/_0,FC_17_C4_0_H1_1_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0,FC_18_C4_0_C4_1_H1_2_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0,FC_19_C4_0_C4_1_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0_0_0_0_0_0_0,FC_20_C4_0_C4_1_H1_2_H1_2_C4_2_H1_3_H1_3_H1_3_/_1_1_1_1_1_1_1_/_0_0_0_0_0_0_0_0,CS_connecting_vertices_C4_2,CS_connecting_vertices_C4_3,CS_connecting_vertices_C4_4,CS_connecting_vertices_N3_2,CS_connecting_vertices_O2_2,CS_connecting_vertices_S2_2
Poly(vinylAcetate),0.0714286,0,0.0384615,0,0.485294,0,0.0588235,0.125,0,0.5,0,0.125,0,0,0,0,0,0.5,0,0,0.5,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.5,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,1,0,0,0,0
Poly(vinylP-t-butylBenzoate),0.392857,0.25,0.307692,0,0.371537,0,0.294118,0.5,0,0,0.368421,0.25,0,0.25,0,0.304348,0,0.5,0,0,1,0,0.25,0.0666667,0.25,0.5,0.25,0,0,0,0.333333,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0.0625,0.3125,0.5,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0,0
Poly(ethyleneSebacate),0.428571,0,0.461538,0.666667,0.323529,0,0.647059,0.25,0,0,0.684211,0,0,0,0,0.434783,0,1,0,0,0,0,0.5,0.533333,0,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0.571429,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Polyisoprene,0.0357143,0,0.0769231,0.111111,0.109502,0,0.117647,0.125,0,0,0.157895,0,0,0.0833333,0,0.0869565,0,0,0,0,0.25,0,0,0.133333,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.142857,0,0.5,1,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.125,0.0625,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(trimethyleneAdipate),0.321429,0,0.346154,0.5,0.431373,0,0.470588,0.25,0,0,0.526316,0,0,0,0,0.304348,0,1,0,0,0,0,0.5,0.333333,0,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0.357143,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.4375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly(12-aminododecanoicAcid),0.357143,0,0.423077,0.611111,0.127663,0,0.647059,0.125,0,0,0.631579,0,0,0,0,0.434783,0.5,0,0,0,0,0,0.25,0.666667,0,0.125,0,0,0.5,0,0,0,0,0.5,0,0,0,0.714286,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.6875,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0
Poly(2-methyl-1_4-pentadiene),0.0714286,0,0.115385,0.166667,0.0889706,0,0.176471,0.125,0,0,0.210526,0,0,0.0833333,0,0.130435,0,0,0,0,0.25,0,0,0.2,0,0.125,0.125,0,0,0,0,0,0,0,0,0,0,0.214286,0,0.5,1,0,0,0,0,0,0,0,0,0,0.333333,0,0,0,0,0.1875,0.0625,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Poly(vinylP-ethylbenzoate),0.321429,0.25,0.307692,0,0.460706,0,0.294118,0.5,0,0,0.368421,0.25,0,0.25,0,0.304348,0,0.5,0,0,0.5,0,0.25,0.0666667,0.25,0.5,0.25,0,0,0,0.333333,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333,0,0,0.5,0,0.0625,0.3125,0.5,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0,0,0,0
Poly(hexamethyleneSebacate),0.571429,0,0.615385,0.888889,0.242647,0,0.882353,0.25,0,0,0.894737,0,0,0,0,0.608696,0,1,0,0,0,0,0.5,0.8,0,0.25,0,0,0,0.5,0,0,0,0,0.5,0,0,0.857143,0,1,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,1,0,0.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Polyoxynaphthoate,0.321429,0.5,0.384615,0.0555556,0.83096,0,0.352941,0.625,0,0,0.368421,0.5,0,0.416667,0,0.391304,0,0.5,0,0,0,0,0.25,0.0666667,0.25,0.5,0.5,0,0,0,0.666667,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.375,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly[di(n-propyl)Itaconate],0.392857,0,0.269231,0,0.352941,0,0.294118,0.25,0.5,1,0.263158,0,1,0,0,0.217391,0,1,0,0,1,0,0.5,0,0,0.125,0,1,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,1,0,0.125,0,1,0.125,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
Nylon6_12,0.642857,0,0.692308,1,0.168697,0,1,0.25,0,0,1,0,0,0,0,0.695652,1,0,0,0,0,0,0.5,0.933333,0,0.25,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
Poly(vinylBenzoate),0.25,0.25,0.307692,0,0.606192,0,0.352941,0.375,0,0,0.368421,0.25,0,0.25,0,0.304348,0,0.5,0,0,0,0,0.25,0.133333,0.5,0.375,0.125,0,0,0,0.333333,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.0625,0.375,0.5,0.125,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
Polystyrene,0.142857,0.25,0.230769,0,0.355882,0,0.294118,0.25,0,0,0.263158,0.25,0,0.25,0,0.26087,0,0,0,0,0,0,0,0.133333,0.5,0.375,0.125,0,0,0,0.333333,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.375,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1,0,0,0,0
Poly(tetramethyleneTerephthalate),0.428571,0.25,0.461538,0.388889,0.619328,0,0.529412,0.5,0,0,0.578947,0.25,0,0.25,0,0.434783,0,1,0,0,0,0,0.5,0.266667,0.25,0.25,0.25,0,0,0.5,0.666667,0,0,0,0.5,0,0,0.214286,0,0,0,0,0,0.5,1,0,0,0.5,0,0,0,0,0,1,0,0.25,0.25,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Poly(dodecylMethacrylate),0.5,0,0.461538,0,0.121324,0,0.647059,0.125,0.5,0.5,0.578947,0.125,0,0,0,0.478261,0,0.5,0,0,0.75,0,0.25,0.6,0,0,0,0.666667,0,0.25,0,0,0.5,0,0.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666667,0,0,0.5,0,0.625,0,0.5,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,0,0
