FID,(atom depth)-seq,Multiplicity seq
1, C 0 C 1 C 2, 1 1
2, C 0 C 1, 1
3, C 0 O 1, 2
4, C 0 O 1, 1
5, C 0 N 1, 1
6, C 0 C 1 O 2, 1 1
7, C 0 C 1 C 2 C 2, 1 1 1
8, C 0 C 1 C 1, 1 1
9, O 0 C 1 C 2 O 2, 1 1 2
10, C 0 C 1 O 2 O 2, 1 1 2
11, O 0 C 1 C 2, 1 1
12, C 0 C 1 O 2, 1 2
13, C 0 O 1 C 2, 1 1
14, C 0 C 1 C 2, 1 2
15, C 0 C 1 C 1 O 2, 1 1 1
16, C 0 C 1 C 2 C 2, 2 1 1
17, C 0 O 1 O 1 C 2, 2 1 1
18, C 0 C 1 C 2 O 2, 1 1 2
19, C 0 C 1 O 1, 1 2
20, C 0 C 1 C 1 C 1, 1 1 1
21, C 0 N 1 C 2 C 2, 1 1 1
22, C 0 C 1, 2
23, C 0 C 1 C 2 C 2 O 1, 1 1 2 2
24, N 0 C 1 C 2 C 1 C 2, 1 1 1 1
25, C 0 C 1 C 2, 2 1
26, C 0 C 1 C 1, 1 2
27, C 0 C 1 C 2 O 2 O 1 O 1 C 2, 1 1 1 2 1 1
28, C 0 C 1 C 2 O 1, 1 2 2
29, C 0 C 1 C 2 C 2 C 2, 1 1 1 1
30, O 0 C 1 C 2 C 2 C 2, 1 1 1 1
31, C 0 C 1 N 2, 1 3
32, C 0 C 1 O 1, 1 1
33, C 0 C 1 N 2, 1 1
34, C 0 O 1 O 1, 1 2
35, C 0 C 1 C 2 C 2, 1 1 2
36, C 0 C 1 C 2 O 1, 1 1 2
37, C 0 C 1 C 1 O 1, 1 1 1
38, C 0 C 1 C 1 C 2, 1 1 1
39, C 0 C 1 C 2 C 1 O 2, 1 1 1 2
40, C 0 N 1, 3
41, C 0 C 1 C 2 C 1 O 2 O 2, 1 1 1 1 2
42, C 0 C 1 C 2 O 2, 1 1 1
43, C 0 C 1 N 1 C 2, 1 1 1
44, C 0 C 1 C 2 O 1 O 1 C 2, 1 1 2 1 1
45, C 0 C 1 C 2 C 1 C 2 O 2, 1 1 1 1 2
46, C 0 C 1 C 1 C 1 N 1, 1 1 1 1
47, C 0 C 1 C 2 O 1 O 1 C 2, 1 2 2 1 1
48, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 2 1 1 1 1 2
49, C 0 C 1 C 1 C 2 C 1 C 2, 1 1 1 1 1
50, C 0 C 1 C 2 O 2 O 1, 1 1 1 2
51, C 0 C 1 C 2 O 2 O 1 C 2, 1 1 1 1 1
52, C 0 C 1 C 2 C 1 O 2, 2 1 1 2
53, C 0 C 1 C 1 O 1 O 2, 1 1 1 1
54, C 0 N 1 C 2, 1 1
55, C 0 C 1 C 1 C 2 C 1 C 2 C 2 C 2, 1 2 1 1 1 1 1
56, C 0 C 1 C 1 N 1, 1 1 1
57, N 0 C 1 O 2, 2 2
58, C 0 C 1 C 1 C 1, 1 1 2
59, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 1
60, C 0 C 1 C 1 C 1 O 1, 1 1 1 1
61, C 0 C 1 C 2 C 1 O 2 O 1, 1 1 1 1 1
62, O 0 C 1 C 2 C 2 C 1 C 2 C 2, 1 1 1 1 1 1
63, O 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
64, C 0 C 1 C 2 C 1 O 2, 1 1 1 1
65, O 0 C 1 C 2 C 1 C 2, 1 1 1 1
66, C 0 N 1 N 2, 1 1
67, C 0 C 1 C 2 C 2 C 1 O 2, 1 1 1 1 1
68, N 0 C 1, 1
69, C 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
70, C 0 C 1 O 1 C 2, 1 1 1
71, C 0 C 1 C 2 C 1 N 2, 1 1 1 1
72, C 0 C 1 C 2 C 2 O 1, 1 1 1 2
73, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 2 1 1 2
74, O 0 C 1 C 2 C 1 C 2 O 2, 1 2 1 1 2
75, C 0 O 1 O 2, 1 1
76, O 0 C 1 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 2
77, C 0 C 1 C 1 C 2 O 1, 1 1 2 1
78, C 0 C 1 C 2 O 2 C 1 C 2 O 2, 1 1 2 1 1 2
79, C 0 C 1 C 2 C 1 C 2, 1 1 1 1
80, C 0 C 1 C 1 C 2, 1 1 2
81, C 0 C 1 C 2 C 2 O 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
82, N 0 C 1 C 2 C 1 C 2 C 1 C 2, 1 1 1 1 1 1
83, N 0 C 1 C 2 O 2, 1 1 2
84, O 0 C 1 C 2 C 2 C 2 C 1 C 2 O 2, 1 1 1 1 1 1 2
85, C 0 C 1 C 1 N 2, 2 1 3
