selected_descriptors:2   R2_train:0.5829803072594061   R2_test:0.5143942949513044 
selected_descriptors:5   R2_train:0.828260625314927    R2_test:0.7550611870764272 
selected_descriptors:6   R2_train:0.8613786931747134   R2_test:0.8212431103598954 
selected_descriptors:7   R2_train:0.9198756931217955   R2_test:0.8733404180592957 
selected_descriptors:10  R2_train:0.9561496581862629   R2_test:0.8768620672549143 
selected_descriptors:15  R2_train:0.9599570826258429   R2_test:0.8658115857583778 
selected_descriptors:20  R2_train:0.96682613013701     R2_test:0.6491563050499587 
selected_descriptors:12  R2_train:0.9562959275072573   R2_test:0.8768620672549142 
selected_descriptors:14  R2_train:0.9563845299075904   R2_test:0.865811585758377 
